"cluster_set","featset","focgene","subtype","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H7N4","gini",25,12,0.95457730810932,0.701358706561074,0.00818813090678754,0.0524917010812449
"70_7","cds_compbias","HA","H7N4","gini",45,12,0.951234882872841,0.685507304969027,0.00877118493290087,0.0515332973978781
"70_7","cds_compbias","HA","H7N7","gini",5,12,0.958799064167135,0.73078163722792,0.00919286309630176,0.0517645713425353
"70_7","cds_compbias","HA","H7N7","gini",25,12,0.955013191702799,0.713019710610741,0.0119956670293753,0.0638243392066682
"70_7","cds_compbias","HA","H7N7","gini",45,12,0.953119697926679,0.705284022712859,0.0123780684005665,0.0658050583055506
"70_7","cds_compbias","HA","H7N9","gini",5,12,0.976161675279641,0.432947425486345,0.00783015496485846,0.154118538808664
"70_7","cds_compbias","HA","H7N9","gini",25,12,0.976681155799122,0.45479901303456,0.00751756201876804,0.127643102957818
"70_7","cds_compbias","HA","H7N9","gini",45,12,0.976681155799122,0.45479901303456,0.00751756201876804,0.127643102957818
"70_7","cds_compbias","HA","H8N4","gini",5,12,0.956146404179228,0.700854943953595,0.0102555112613878,0.0719423688331818
"70_7","cds_compbias","HA","H8N4","gini",25,12,0.954732419717519,0.693824118379888,0.00937509603653914,0.0652467246971421
"70_7","cds_compbias","HA","H8N4","gini",45,12,0.95143162706003,0.680114156645748,0.0081457747347838,0.0635886196628936
"70_7","cds_compbias","HA","H9N2","gini",5,12,0.957619320507573,0.720046091218961,0.00843837809103794,0.0386545656887199
"70_7","cds_compbias","HA","H9N2","gini",25,12,0.957619320507573,0.728460806200267,0.011161180973392,0.0573951768407954
"70_7","cds_compbias","HA","H9N2","gini",45,12,0.954753990994679,0.716174333978829,0.0138000190648848,0.064356654809948
"70_7","nuc_2mer","HA","H10N8","gini",5,4,0.943473786677792,0.599810095096681,0.00986045081595523,0.059696224741007
"70_7","nuc_2mer","HA","H10N8","gini",25,4,0.93640828813795,0.580509814263217,0.0173814838686955,0.0791844927472393
"70_7","nuc_2mer","HA","H10N8","gini",45,4,0.935467111667362,0.590376938561273,0.0183534270845242,0.0799996846734072
"70_7","nuc_2mer","HA","H16N3","gini",5,4,0.94987944488521,0.656274294624065,0.0103737421657799,0.0639477245297615
"70_7","nuc_2mer","HA","H16N3","gini",25,4,0.944676247867785,0.637005985766381,0.0127150216711196,0.0797073585594437
"70_7","nuc_2mer","HA","H16N3","gini",45,4,0.941364309090398,0.628771547141711,0.0136645336032802,0.0783523147986644
"70_7","nuc_2mer","HA","H3N8","gini",5,4,0.94553978067832,0.641010487852957,0.00844655094941078,0.0550451448952089
"70_7","nuc_2mer","HA","H3N8","gini",25,4,0.941005775640536,0.635273840477888,0.00802547108760465,0.0420454377489723
"70_7","nuc_2mer","HA","H3N8","gini",45,4,0.935457853090095,0.617488517247148,0.00802495406713933,0.045938078895598
"70_7","nuc_2mer","HA","H4N6","gini",5,4,0.945622318139817,0.640535920490495,0.0123985686512125,0.0717089524257409
"70_7","nuc_2mer","HA","H4N6","gini",25,4,0.938573218738529,0.612280363681218,0.00743509647449011,0.042768358434771
"70_7","nuc_2mer","HA","H4N6","gini",45,4,0.935556877586927,0.610830872979082,0.0105505204249968,0.0505806341080974
"70_7","nuc_2mer","HA","H4N8","gini",5,4,0.944153137709657,0.621666942325796,0.011436145473033,0.0714529581941499
"70_7","nuc_2mer","HA","H4N8","gini",25,4,0.93894434920955,0.611862456474374,0.0143729671273201,0.0575721886573976
"70_7","nuc_2mer","HA","H4N8","gini",45,4,0.936107469776926,0.608370255985178,0.0116183885848911,0.0492844060773216
"70_7","nuc_2mer","HA","H5N1","gini",5,4,0.955889724310777,0.669598730950271,0.0134500329473672,0.104229406166818
"70_7","nuc_2mer","HA","H5N1","gini",25,4,0.956390977443609,0.689472354567374,0.0119672545226199,0.0727172976458346
"70_7","nuc_2mer","HA","H5N1","gini",45,4,0.956390977443609,0.689824724830034,0.0123546441542518,0.0719451317757488
"70_7","nuc_2mer","HA","H5N6","gini",5,4,0.946574207431112,0.636445206816951,0.00635987097342683,0.0440677793368977
"70_7","nuc_2mer","HA","H5N6","gini",25,4,0.939005834379226,0.610115484010356,0.00809816720095299,0.0578794282934346
"70_7","nuc_2mer","HA","H5N6","gini",45,4,0.937117926800833,0.617096301785268,0.0102320413566784,0.0575923652830277
"70_7","nuc_2mer","HA","H7N3","gini",5,4,0.946110836093845,0.609800406182728,0.00941384854569939,0.0739609443335541
"70_7","nuc_2mer","HA","H7N3","gini",25,4,0.94311456433543,0.618105240653047,0.0107775893345754,0.0799194940448971
