"cluster_set","featset","focgene","subtype","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","cds_compbias","HA","H4N8",1,4,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,5,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,5,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,5,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.1,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",0.3,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,6,0,0.333333333333333,3,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,6,0,0.333333333333333,5,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H4N8",1,6,0,0.333333333333333,7,1,1000,0.07477395717791,0,0.00119973289404569,0
"70_7","cds_compbias","HA","H5N1",0.1,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,4,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,4,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,4,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,5,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,5,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,5,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.1,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",0.3,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,6,0,0.333333333333333,3,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,6,0,0.333333333333333,5,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N1",1,6,0,0.333333333333333,7,1,1000,0.0671668303925643,0,0.00103130644116817,0
"70_7","cds_compbias","HA","H5N6",0.1,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.1,4,0,0.333333333333333,7,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,4,0,0.333333333333333,3,1,1000,0.0770666659056331,0,0.0011319738219575,0
"70_7","cds_compbias","HA","H5N6",0.3,4,0,0.333333333333333,5,1,1000,0.0770666659056331,0,0.0011319738219575,0
