"cluster_set","featset","focgene","subtype","sigma","C","Weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_ctdd","M1","H7N7",0.01,9,9,0.843208248414333,0.382102002049222,0.0192843144825973,0.0456391966974423
"70_7","prot_ctdd","M1","H7N7",0.1,1,3,0.954520179139005,0.63986446756356,0.00721653212419587,0.0589592062149268
"70_7","prot_ctdd","M1","H7N7",0.1,1,9,0.848893227352611,0.379514903531724,0.0194198099789911,0.0347743516932092
"70_7","prot_ctdd","M1","H7N7",0.1,3,3,0.954520179139005,0.63986446756356,0.00721653212419587,0.0589592062149268
"70_7","prot_ctdd","M1","H7N7",0.1,3,9,0.848893227352611,0.379514903531724,0.0194198099789911,0.0347743516932092
"70_7","prot_ctdd","M1","H7N7",0.1,9,3,0.954520179139005,0.63986446756356,0.00721653212419587,0.0589592062149268
"70_7","prot_ctdd","M1","H7N7",0.1,9,9,0.852210773542866,0.386210760187145,0.0197051101213008,0.0367953145628992
"70_7","prot_ctdd","M1","H7N9",0.001,1,3,0.973560249178998,0.298453569809561,0.00339235554326096,0.122447704551179
"70_7","prot_ctdd","M1","H7N9",0.001,1,9,0.949202513489777,0.240314549533718,0.0230616565899163,0.058185456738993
"70_7","prot_ctdd","M1","H7N9",0.001,3,3,0.974599210217959,0.305513434944743,0.00214987226492882,0.190433163813546
"70_7","prot_ctdd","M1","H7N9",0.001,3,9,0.942991570291245,0.241206137377538,0.0186445539128467,0.0612372178874684
"70_7","prot_ctdd","M1","H7N9",0.001,9,3,0.974086437855567,0.332390852392097,0.00602941862444621,0.177296444874477
"70_7","prot_ctdd","M1","H7N9",0.001,9,9,0.93883302757143,0.252766361199033,0.00742250099072547,0.0643501650143437
"70_7","prot_ctdd","M1","H7N9",0.01,1,3,0.973566957336086,0.290230648149384,0.0058658727677079,0.212270057690061
"70_7","prot_ctdd","M1","H7N9",0.01,1,9,0.945575514844101,0.259981116056524,0.0108084185149854,0.0482808338905745
"70_7","prot_ctdd","M1","H7N9",0.01,3,3,0.972011207386554,0.256045387612549,0.00557763624003363,0.18260521377048
"70_7","prot_ctdd","M1","H7N9",0.01,3,9,0.947139318755176,0.24523116790629,0.0121563274571902,0.118636784528225
"70_7","prot_ctdd","M1","H7N9",0.01,9,3,0.9746032337212,0.290958597590253,0.00716810849428371,0.218465602580553
"70_7","prot_ctdd","M1","H7N9",0.01,9,9,0.946619838235696,0.234444255426789,0.0121630738073928,0.108365282109939
"70_7","prot_ctdd","M1","H7N9",0.1,1,3,0.977192568446936,0.269523113227544,0.0066927884791647,0.231620778011653
"70_7","prot_ctdd","M1","H7N9",0.1,1,9,0.951799860446685,0.23294905663282,0.00901924733610602,0.101046808543989
"70_7","prot_ctdd","M1","H7N9",0.1,3,3,0.977192568446936,0.269523113227544,0.0066927884791647,0.231620778011653
"70_7","prot_ctdd","M1","H7N9",0.1,3,9,0.951799860446685,0.23294905663282,0.00901924733610602,0.101046808543989
"70_7","prot_ctdd","M1","H7N9",0.1,9,3,0.977192568446936,0.269523113227544,0.0066927884791647,0.231620778011653
"70_7","prot_ctdd","M1","H7N9",0.1,9,9,0.951799860446685,0.23294905663282,0.00901924733610602,0.101046808543989
"70_7","prot_ctdd","M1","H8N4",0.001,1,3,0.951430527677416,0.616228882880012,0.0117712000470958,0.0930255112706402
"70_7","prot_ctdd","M1","H8N4",0.001,1,9,0.818000679570637,0.354505718374871,0.0270069213656903,0.0519384215962212
"70_7","prot_ctdd","M1","H8N4",0.001,3,3,0.952843397013563,0.621779805873591,0.0110992848982497,0.0976062243584353
"70_7","prot_ctdd","M1","H8N4",0.001,3,9,0.825535635477261,0.366069224535452,0.0225266007977571,0.0456784743365932
"70_7","prot_ctdd","M1","H8N4",0.001,9,3,0.951900000787147,0.61970187583744,0.013535937351173,0.103125004412073
"70_7","prot_ctdd","M1","H8N4",0.001,9,9,0.837313675637524,0.37479965718966,0.0204816921878657,0.047286026399674
"70_7","prot_ctdd","M1","H8N4",0.01,1,3,0.951899995539498,0.61927118943554,0.0116666983332257,0.0930066043724236
"70_7","prot_ctdd","M1","H8N4",0.01,1,9,0.838267076508109,0.368237112633263,0.0172394964997589,0.0340236472221287
"70_7","prot_ctdd","M1","H8N4",0.01,3,3,0.953317320130247,0.629522957423289,0.010496908077406,0.0798215574857415
"70_7","prot_ctdd","M1","H8N4",0.01,3,9,0.842505684516547,0.370674134263163,0.0214576462299495,0.0421848187144005
"70_7","prot_ctdd","M1","H8N4",0.01,9,3,0.95331843000816,0.62627110227206,0.00995053615315767,0.0819381222050773
"70_7","prot_ctdd","M1","H8N4",0.01,9,9,0.842980722758794,0.367340746013341,0.0211633335363406,0.0432560020255078
"70_7","prot_ctdd","M1","H8N4",0.1,1,3,0.952847847020516,0.604235583900326,0.00974615420808642,0.0779499391646278
"70_7","prot_ctdd","M1","H8N4",0.1,1,9,0.843917454470079,0.352012527469366,0.0200044190400944,0.0360941332204539
"70_7","prot_ctdd","M1","H8N4",0.1,3,3,0.952847847020516,0.604235583900326,0.00974615420808642,0.0779499391646278
"70_7","prot_ctdd","M1","H8N4",0.1,3,9,0.843917454470079,0.352012527469366,0.0200044190400944,0.0360941332204539
"70_7","prot_ctdd","M1","H8N4",0.1,9,3,0.952847847020516,0.604235583900326,0.00974615420808642,0.0779499391646278
"70_7","prot_ctdd","M1","H8N4",0.1,9,9,0.84439026770885,0.350648467984,0.0191057929257607,0.0381106259799979
"70_7","prot_ctdd","M1","H9N2",0.001,1,3,0.937006958657388,0.636760112820449,0.010254650874584,0.0544055102859159
"70_7","prot_ctdd","M1","H9N2",0.001,1,9,0.932417519443307,0.640621648459461,0.0104445981641859,0.0210163692968597
"70_7","prot_ctdd","M1","H9N2",0.001,3,3,0.938722881702824,0.647399636105815,0.00819125945055915,0.0442949720841772
"70_7","prot_ctdd","M1","H9N2",0.001,3,9,0.926123618501842,0.627013401099336,0.018684380585031,0.0500248512207711
"70_7","prot_ctdd","M1","H9N2",0.001,9,3,0.94043716741711,0.651779931992385,0.00467591218870612,0.0315948226284569
"70_7","prot_ctdd","M1","H9N2",0.001,9,9,0.91752762996316,0.58513149299754,0.0137863866219866,0.0332835798121643
"70_7","prot_ctdd","M1","H9N2",0.01,1,3,0.943304134261154,0.662130164216746,0.00614258807164247,0.0397080040392787
"70_7","prot_ctdd","M1","H9N2",0.01,1,9,0.923831354891527,0.60624688850942,0.0130225223355504,0.037248828112839
"70_7","prot_ctdd","M1","H9N2",0.01,3,3,0.944450266066312,0.664142780349532,0.00767917822674665,0.0432023172475604
"70_7","prot_ctdd","M1","H9N2",0.01,3,9,0.926117069177241,0.597024959441143,0.00936996709164457,0.0224406719477947
"70_7","prot_ctdd","M1","H9N2",0.01,9,3,0.948463364715514,0.681490003468012,0.0122558507580813,0.0659923154631646
"70_7","prot_ctdd","M1","H9N2",0.01,9,9,0.929557101923864,0.611110898842252,0.0128808015323369,0.0424388502280925
