"cluster_set","featset","focgene","subtype","min.node.size","splitrule","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"60_7","prot_pseaac","PB1","H7N4","25","gini",5,0.938603921568627,0.614777862937355,0.00997242508343859,0.0618888480754551
"60_7","prot_pseaac","PB1","H7N4","45","gini",5,0.932199643493761,0.596578947526008,0.0140385747208629,0.0712170965911551
"60_7","prot_pseaac","PB1","H7N7","5","gini",5,0.935562921926558,0.604874128213129,0.0130527028909442,0.0708739245611939
"60_7","prot_pseaac","PB1","H7N7","25","gini",5,0.928952865316502,0.583684449798747,0.0144183617700138,0.0733174191412662
"60_7","prot_pseaac","PB1","H7N7","45","gini",5,0.921240880331789,0.560925174230298,0.018996501804824,0.0883555648702984
"60_7","prot_pseaac","PB1","H7N9","5","gini",5,0.973546662066586,0.183389046278391,0.00549103487683051,0.210603682965472
"60_7","prot_pseaac","PB1","H7N9","25","gini",5,0.971193720890116,0.16679562454687,0.00383171007860922,0.185907059107267
"60_7","prot_pseaac","PB1","H7N9","45","gini",5,0.968255994479903,0.184456379346083,0.00564149028936587,0.158539292886018
"60_7","prot_pseaac","PB1","H8N4","5","gini",5,0.94258551234161,0.636847506146936,0.0106805117769212,0.0509956576500534
"60_7","prot_pseaac","PB1","H8N4","25","gini",5,0.939333479821285,0.626251955343,0.0105567647691592,0.0511482162477681
"60_7","prot_pseaac","PB1","H8N4","45","gini",5,0.931751263458581,0.597216417257518,0.00995975341022573,0.0440822672528364
"60_7","prot_pseaac","PB1","H9N2","5","gini",5,0.958430925438309,0.742477209991502,0.00914651223105825,0.0586876146692853
"60_7","prot_pseaac","PB1","H9N2","25","gini",5,0.955792832681665,0.733344306551422,0.0112699817409463,0.0686610592693149
"60_7","prot_pseaac","PB1","H9N2","45","gini",5,0.951841121721095,0.719428027556124,0.0156674044697939,0.0814074716357453
"60_7","cds_compbias","PB2","H10N8","5","gini",12,0.954472874252832,0.686728942788516,0.0110669209353407,0.0701931884769503
"60_7","cds_compbias","PB2","H10N8","25","gini",12,0.952301906890984,0.687414325833716,0.0104354234954652,0.0626735333739726
"60_7","cds_compbias","PB2","H10N8","45","gini",12,0.952304844611313,0.693192768924636,0.0104169062619492,0.060044513103466
"60_7","cds_compbias","PB2","H16N3","5","gini",12,0.953334431342181,0.667928060145924,0.0119605451424743,0.103028699933706
"60_7","cds_compbias","PB2","H16N3","25","gini",12,0.949530051410572,0.661262939295628,0.010514185384,0.0867482819858644
"60_7","cds_compbias","PB2","H16N3","45","gini",12,0.944093763855539,0.635760306745389,0.00641928469492573,0.0670814573458255
"60_7","cds_compbias","PB2","H3N8","5","gini",12,0.958603206283801,0.712201162203814,0.0128886632454874,0.0923970187938401
"60_7","cds_compbias","PB2","H3N8","25","gini",12,0.952358035024466,0.684293546934609,0.0106539870574019,0.0651091071287783
"60_7","cds_compbias","PB2","H3N8","45","gini",12,0.948958601596704,0.671311889205408,0.0139924123871376,0.0847662938347358
"60_7","cds_compbias","PB2","H4N6","5","gini",12,0.952871263195441,0.685288811922651,0.00886842041275635,0.059077644105189
"60_7","cds_compbias","PB2","H4N6","25","gini",12,0.945886014379752,0.658460472175221,0.00848121874234497,0.0565753967370203
"60_7","cds_compbias","PB2","H4N6","45","gini",12,0.944716443561391,0.663053877443668,0.0115642724951156,0.0829235249968441
"60_7","cds_compbias","PB2","H4N8","5","gini",12,0.952937503932362,0.674437915115764,0.00873652080233077,0.067082589780793
"60_7","cds_compbias","PB2","H4N8","25","gini",12,0.94906088401191,0.67263950440945,0.0139235664555338,0.084538806112625
"60_7","cds_compbias","PB2","H4N8","45","gini",12,0.946843278594859,0.665216404257859,0.0123028640958904,0.0776722188461859
"60_7","cds_compbias","PB2","H5N1","5","gini",12,0.960688499347801,0.725115131051557,0.00835598472498232,0.0712828825405006
"60_7","cds_compbias","PB2","H5N1","25","gini",12,0.956064212234307,0.706117873614232,0.0136361817191235,0.0915024795659814
"60_7","cds_compbias","PB2","H5N1","45","gini",12,0.950865241364426,0.690810926887369,0.0159661925640933,0.0846716717585686
"60_7","cds_compbias","PB2","H5N6","5","gini",12,0.945975885008316,0.645574080403723,0.00899999802513292,0.0611044940893243
"60_7","cds_compbias","PB2","H5N6","25","gini",12,0.938331551437396,0.617812254859351,0.00695594309081291,0.0484955918105947
"60_7","cds_compbias","PB2","H5N6","45","gini",12,0.9356022808268,0.610635785385432,0.00721324348456218,0.0514566440983801
"60_7","cds_compbias","PB2","H7N3","5","gini",12,0.94934008545656,0.652193185574881,0.0186017852296991,0.13408604916681
"60_7","cds_compbias","PB2","H7N3","25","gini",12,0.948218072479823,0.660950815734968,0.0209386784816476,0.155265368165924
"60_7","cds_compbias","PB2","H7N3","45","gini",12,0.944274410507992,0.643675595340237,0.0186243577542051,0.144401225653967
"60_7","cds_compbias","PB2","H7N4","5","gini",12,0.959431016042781,0.716189955434245,0.012824096221362,0.0916124772145946
"60_7","cds_compbias","PB2","H7N4","25","gini",12,0.952487700534759,0.68665508111095,0.0161474057969712,0.102160734683607
"60_7","cds_compbias","PB2","H7N4","45","gini",12,0.948751515151515,0.676774144473051,0.0133715340170446,0.0845672498874864
"60_7","cds_compbias","PB2","H7N7","5","gini",12,0.951530287893924,0.668233084785207,0.0124439096419258,0.0895969881741699
"60_7","cds_compbias","PB2","H7N7","25","gini",12,0.946576151121606,0.659709429568922,0.0111611191400177,0.0754320607705672
"60_7","cds_compbias","PB2","H7N7","45","gini",12,0.942166923985106,0.645416725089094,0.0139516298319168,0.0910630244411048
"60_7","cds_compbias","PB2","H7N9","5","gini",12,0.976484388476798,0.199861163533971,0.00207995474683917,0.14879789329823
"60_7","cds_compbias","PB2","H7N9","25","gini",12,0.975307917888563,0.197960926004279,0.0033596452073713,0.152014232138064
"60_7","cds_compbias","PB2","H7N9","45","gini",12,0.974721407624633,0.250493740414735,0.00334682197718809,0.100787392508419
"60_7","cds_compbias","PB2","H8N4","5","gini",12,0.957205009887937,0.697227863647558,0.00965623753022275,0.0851974159062535
"60_7","cds_compbias","PB2","H8N4","25","gini",12,0.952874826045558,0.691018707386572,0.00908175089517387,0.0662028650886711
"60_7","cds_compbias","PB2","H8N4","45","gini",12,0.951253204423936,0.692067186219628,0.0123730968126514,0.074831363502468
"60_7","cds_compbias","PB2","H9N2","5","gini",12,0.961722541633738,0.762141706790505,0.00494422303374291,0.033921382316197
"60_7","cds_compbias","PB2","H9N2","25","gini",12,0.954461786802591,0.730888142371913,0.00422085233977168,0.0250256790755184
"60_7","cds_compbias","PB2","H9N2","45","gini",12,0.954466129342108,0.735723249119081,0.00779320239778614,0.0463448878858127
"60_7","nuc_2mer","PB2","H10N8","5","gini",4,0.939287861562517,0.587444911604212,0.0172398938445956,0.112467625038414
"60_7","nuc_2mer","PB2","H10N8","25","gini",4,0.931148951178113,0.573358128891866,0.0120235673350362,0.055242186318229
"60_7","nuc_2mer","PB2","H10N8","45","gini",4,0.918681337753448,0.539013769800358,0.0140622948785629,0.0615292641235469
"60_7","nuc_2mer","PB2","H16N3","5","gini",4,0.938682586831792,0.557804103331407,0.0173406385666641,0.161390010447674
"60_7","nuc_2mer","PB2","H16N3","25","gini",4,0.924013028099716,0.529525755364083,0.0130487150192504,0.124098441613235
"60_7","nuc_2mer","PB2","H16N3","45","gini",4,0.913149298060923,0.510821693772746,0.0173948415083743,0.0827283421371668
"60_7","nuc_2mer","PB2","H3N8","5","gini",4,0.944427633273242,0.601584589734138,0.0184913084518564,0.159535343888679
"60_7","nuc_2mer","PB2","H3N8","25","gini",4,0.933635397888231,0.579379631914202,0.013381908052715,0.105799846863836
"60_7","nuc_2mer","PB2","H3N8","45","gini",4,0.919453386556786,0.543439319648746,0.0166041224997088,0.100177978027727
"60_7","nuc_2mer","PB2","H4N6","5","gini",4,0.94122808129463,0.60669687743877,0.0104595644093494,0.0744944044083802
"60_7","nuc_2mer","PB2","H4N6","25","gini",4,0.931929086816006,0.582934796924282,0.0079325877831214,0.0676784982685909
"60_7","nuc_2mer","PB2","H4N6","45","gini",4,0.910408924800601,0.514266539806842,0.012932603878834,0.0692401405528577
"60_7","nuc_2mer","PB2","H4N8","5","gini",4,0.941887805682667,0.600319183077572,0.0180333611238529,0.117185572100123
"60_7","nuc_2mer","PB2","H4N8","25","gini",4,0.925270325420997,0.545630884027282,0.0122272044272508,0.071352931223228
"60_7","nuc_2mer","PB2","H4N8","45","gini",4,0.909211444575381,0.507889857547123,0.0117843775160555,0.0454056329239255
"60_7","nuc_2mer","PB2","H5N1","5","gini",4,0.949704145611724,0.6449377613451,0.00701146809704694,0.0620807018162373
"60_7","nuc_2mer","PB2","H5N1","25","gini",4,0.934675195593388,0.603766879588281,0.0120606302545417,0.0490943671507801
"60_7","nuc_2mer","PB2","H5N1","45","gini",4,0.921968408109916,0.570265753765638,0.0176821841789236,0.039854532868247
"60_7","nuc_2mer","PB2","H5N6","5","gini",4,0.9356022808268,0.567529373027536,0.0096482713220048,0.0864802831555969
"60_7","nuc_2mer","PB2","H5N6","25","gini",4,0.924126870990734,0.544032798321313,0.00226860539341265,0.0390790908040181
"60_7","nuc_2mer","PB2","H5N6","45","gini",4,0.913203848895225,0.516963343940025,0.00371831299319853,0.0371883965891407
"60_7","nuc_2mer","PB2","H7N3","5","gini",4,0.940327583478398,0.578054762050762,0.0148746346280832,0.131264388405493
"60_7","nuc_2mer","PB2","H7N3","25","gini",4,0.925690773856623,0.530558227836993,0.016621306187666,0.12128135359185
"60_7","nuc_2mer","PB2","H7N3","45","gini",4,0.915556258901725,0.507026322014443,0.0188839001173336,0.129389105660248
"60_7","nuc_2mer","PB2","H7N4","5","gini",4,0.942341532976827,0.584285846728158,0.017371045600009,0.159827352882197
"60_7","nuc_2mer","PB2","H7N4","25","gini",4,0.93167201426025,0.571731414419093,0.0201785340393514,0.13529322591837
"60_7","nuc_2mer","PB2","H7N4","45","gini",4,0.916727272727273,0.535673860462633,0.0217286291430583,0.108266854937364
"60_7","nuc_2mer","PB2","H7N7","5","gini",4,0.944379862561681,0.621841849123013,0.00688974309737426,0.0555762542612991
"60_7","nuc_2mer","PB2","H7N7","25","gini",4,0.930604244240608,0.587162734622139,0.0145489810599144,0.0784440546085524
"60_7","nuc_2mer","PB2","H7N7","45","gini",4,0.916285229921594,0.545710127569381,0.0202571743923969,0.0891696738333147
"60_7","nuc_2mer","PB2","H7N9","5","gini",4,0.975307917888563,0.118306074318473,0.0033596452073713,0.11516946754471
