"","cluster_set","featset","focgene","threshold","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","method"
"239","70_7","prot_ctdd","NP",0.042,0.848,0.566,0.834,0.862,0.769,0,0.136,0.739,0.647,0.909,0.681,0.895,0.681,0.647,0.664,0.231,0.15,0.22,0.778,"svm"
"240","70_7","prot_ctdt","NP",0.038,0.905,0.716,0.893,0.916,0.769,0,0,0.719,0.71,0.963,0.854,0.917,0.854,0.71,0.776,0.231,0.164,0.193,0.837,"svm"
"241","70_7","prot_ctriad","NP",0.043,0.874,0.61,0.861,0.887,0.769,0,0,0.659,0.595,0.958,0.811,0.887,0.811,0.595,0.687,0.231,0.138,0.17,0.777,"svm"
"242","70_7","prot_pseaac","NP",0.036,0.809,0.477,0.793,0.823,0.769,0,0.034,0.713,0.626,0.864,0.58,0.885,0.58,0.626,0.602,0.231,0.145,0.25,0.745,"svm"
"243","70_7","cds_compbias","NS1",0.013,0.613,0.203,0.594,0.631,0.769,1,0,0.657,0.686,0.591,0.335,0.862,0.335,0.686,0.451,0.231,0.159,0.473,0.638,"svm"
"244","70_7","nuc_2mer","NS1",0.014,0.619,0.178,0.6,0.638,0.769,1,0,0.624,0.61,0.622,0.327,0.841,0.327,0.61,0.426,0.231,0.141,0.432,0.616,"svm"
"245","70_7","nuc_3mer","NS1",0.027,0.663,-0.058,0.644,0.68,0.769,1,0,0.263,0.123,0.825,0.175,0.757,0.175,0.123,0.144,0.231,0.028,0.163,0.474,"svm"
"246","70_7","nuc_4mer","NS1",0.022,0.695,0.219,0.677,0.712,0.769,1,0,0.551,0.482,0.759,0.376,0.83,0.376,0.482,0.422,0.231,0.112,0.297,0.62,"svm"
"247","70_7","nuc_5mer","NS1",0.015,0.396,-0.035,0.377,0.414,0.769,1,0,0.444,0.613,0.33,0.216,0.739,0.216,0.613,0.32,0.231,0.142,0.657,0.472,"svm"
"248","70_7","nuc_6mer","NS1",0.029,0.423,-0.178,0.404,0.442,0.769,1,0,0.207,0.293,0.462,0.141,0.685,0.141,0.293,0.19,0.231,0.068,0.481,0.378,"svm"
"249","70_7","prot_2mer","NS1",0.022,0.83,0.589,0.815,0.844,0.769,0,0,0.906,0.864,0.82,0.591,0.952,0.591,0.864,0.702,0.231,0.2,0.339,0.842,"svm"
"250","70_7","prot_ctdc","NS1",0.037,0.763,0.377,0.746,0.779,0.769,0.776,0,0.703,0.589,0.815,0.489,0.868,0.489,0.589,0.535,0.231,0.136,0.279,0.702,"svm"
"251","70_7","prot_ctdd","NS1",0.04,0.914,0.738,0.903,0.924,0.769,0,0,0.806,0.707,0.976,0.899,0.917,0.899,0.707,0.792,0.231,0.164,0.182,0.842,"svm"
"252","70_7","prot_ctdt","NS1",0.027,0.745,0.404,0.728,0.761,0.769,0.998,0,0.764,0.739,0.747,0.468,0.905,0.468,0.739,0.573,0.231,0.171,0.366,0.743,"svm"
"253","70_7","prot_ctriad","NS1",0.025,0.693,0.277,0.675,0.71,0.769,1,0,0.705,0.615,0.716,0.395,0.861,0.395,0.615,0.481,0.231,0.142,0.36,0.666,"svm"
"254","70_7","prot_pseaac","NS1",0.029,0.73,0.331,0.712,0.746,0.769,1,0,0.716,0.612,0.765,0.44,0.867,0.44,0.612,0.512,0.231,0.142,0.322,0.688,"svm"
"255","70_7","cds_compbias","PA",0.028,0.592,-0.145,0.573,0.61,0.769,1,0.928,0.219,0.121,0.733,0.121,0.735,0.121,0.121,0.121,0.231,0.028,0.233,0.427,"svm"
"256","70_7","nuc_2mer","PA",0.018,0.485,-0.001,0.466,0.505,0.769,1,0,0.481,0.526,0.473,0.231,0.768,0.231,0.526,0.321,0.231,0.122,0.527,0.5,"svm"
"257","70_7","nuc_3mer","PA",0.033,0.713,-0.024,0.696,0.73,0.769,1,0,0.129,0.076,0.905,0.194,0.765,0.194,0.076,0.109,0.231,0.018,0.091,0.491,"svm"
"258","70_7","nuc_4mer","PA",0.025,0.658,-0.069,0.639,0.676,0.769,1,0,0.202,0.118,0.82,0.165,0.755,0.165,0.118,0.138,0.231,0.027,0.166,0.469,"svm"
"259","70_7","nuc_5mer","PA",0.026,0.708,-0.022,0.69,0.725,0.769,1,0,0.246,0.087,0.895,0.2,0.765,0.2,0.087,0.122,0.231,0.02,0.101,0.491,"svm"
"260","70_7","nuc_6mer","PA",0.052,0.776,0.046,0.759,0.791,0.769,0.198,0,0.1,0.031,1,1,0.774,1,0.031,0.06,0.231,0.007,0.007,0.515,"svm"
"261","70_7","prot_2mer","PA",0.022,0.785,0.479,0.769,0.801,0.769,0.02,0,0.831,0.764,0.792,0.525,0.918,0.525,0.764,0.622,0.231,0.177,0.337,0.778,"svm"
"262","70_7","prot_ctdc","PA",0.037,0.834,0.506,0.819,0.848,0.769,0,0,0.618,0.563,0.915,0.667,0.874,0.667,0.563,0.611,0.231,0.13,0.196,0.739,"svm"
"263","70_7","prot_ctdd","PA",0.039,0.878,0.646,0.865,0.89,0.769,0,0.001,0.712,0.689,0.935,0.762,0.909,0.762,0.689,0.724,0.231,0.16,0.209,0.812,"svm"
"264","70_7","prot_ctdt","PA",0.038,0.834,0.53,0.82,0.848,0.769,0,0.476,0.73,0.629,0.896,0.646,0.889,0.646,0.629,0.638,0.231,0.146,0.225,0.763,"svm"
"265","70_7","prot_ctriad","PA",0.038,0.861,0.6,0.848,0.874,0.769,0,0.019,0.722,0.663,0.921,0.717,0.901,0.717,0.663,0.689,0.231,0.154,0.214,0.792,"svm"
"266","70_7","prot_pseaac","PA",0.034,0.856,0.587,0.842,0.869,0.769,0,0.074,0.829,0.66,0.915,0.701,0.899,0.701,0.66,0.68,0.231,0.153,0.218,0.788,"svm"
"267","70_7","cds_compbias","PB1",0.017,0.639,0.156,0.621,0.658,0.769,1,0,0.59,0.508,0.679,0.323,0.821,0.323,0.508,0.395,0.231,0.118,0.364,0.593,"svm"
"268","70_7","nuc_2mer","PB1",0.018,0.688,0.294,0.67,0.706,0.769,1,0,0.695,0.672,0.693,0.398,0.875,0.398,0.672,0.499,0.231,0.155,0.391,0.682,"svm"
"269","70_7","nuc_3mer","PB1",0.023,0.639,0.275,0.621,0.658,0.769,1,0,0.718,0.791,0.594,0.37,0.904,0.37,0.791,0.504,0.231,0.183,0.496,0.692,"svm"
"270","70_7","nuc_4mer","PB1",0.024,0.791,0.437,0.775,0.807,0.769,0.003,0.002,0.745,0.608,0.846,0.544,0.878,0.544,0.608,0.574,0.231,0.141,0.259,0.727,"svm"
"271","70_7","nuc_5mer","PB1",0.024,0.672,0.044,0.653,0.689,0.769,1,0.043,0.434,0.241,0.801,0.268,0.778,0.268,0.241,0.254,0.231,0.056,0.209,0.521,"svm"
"272","70_7","nuc_6mer","PB1",0.029,0.751,0.127,0.734,0.768,0.769,0.983,0,0.246,0.178,0.924,0.414,0.789,0.414,0.178,0.249,0.231,0.041,0.1,0.551,"svm"
