"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","nuc_4mer","PB2","H7N7",1,0.1,0.767882937486442,0.295614389552295,0.0232421762382816,0.0255623506428944
"70_7","nuc_4mer","PB2","H7N7",1,1,0.752716605625584,0,0.378290782887995,0
"70_7","nuc_4mer","PB2","H7N7",1,10,0.752716605625584,0,0.378290782887995,0
"70_7","nuc_4mer","PB2","H7N9",0,0.001,0.933651680421171,0.298568527805534,0.01422665686143,0.0600857302662992
"70_7","nuc_4mer","PB2","H7N9",0,0.01,0.933651680421171,0.298568527805534,0.01422665686143,0.0600857302662992
"70_7","nuc_4mer","PB2","H7N9",0,0.1,0.919131768340107,0.258018218140426,0.0127233357818725,0.0364628171843277
"70_7","nuc_4mer","PB2","H7N9",0,1,0.84655908924857,0.147752835754082,0.0257034560991546,0.0373105644979654
"70_7","nuc_4mer","PB2","H7N9",0,10,0.820116660728783,0.123832444000293,0.0319497654095467,0.0383488371104476
"70_7","nuc_4mer","PB2","H7N9",0.5,0.001,0.956973181455649,0.33657529334924,0.0127677033552911,0.127738189395733
"70_7","nuc_4mer","PB2","H7N9",0.5,0.01,0.928466288902486,0.274080536659904,0.0155806701195708,0.0434144649493942
"70_7","nuc_4mer","PB2","H7N9",0.5,0.1,0.827875272095058,0.125200120936736,0.0275713942317141,0.0176658001770916
"70_7","nuc_4mer","PB2","H7N9",0.5,1,0.213509115564785,0,0.425216887822861,0
"70_7","nuc_4mer","PB2","H7N9",0.5,10,0.213509115564785,0,0.425216887822861,0
"70_7","nuc_4mer","PB2","H7N9",1,0.001,0.956457731394471,0.331084976992993,0.010570305986971,0.106081545953234
"70_7","nuc_4mer","PB2","H7N9",1,0.01,0.917063246028182,0.240600999717966,0.0151710709988766,0.0363194783429224
"70_7","nuc_4mer","PB2","H7N9",1,0.1,0.752721277464018,0.0980234342757117,0.0214861062269901,0.0195940881459812
"70_7","nuc_4mer","PB2","H7N9",1,1,0.213509115564785,0,0.425216887822861,0
"70_7","nuc_4mer","PB2","H7N9",1,10,0.213509115564785,0,0.425216887822861,0
"70_7","nuc_4mer","PB2","H8N4",0,0.001,0.907584690506739,0.544469605992203,0.00863812085076728,0.0352181433656408
"70_7","nuc_4mer","PB2","H8N4",0,0.01,0.907584690506739,0.544469605992203,0.00863812085076728,0.0352181433656408
"70_7","nuc_4mer","PB2","H8N4",0,0.1,0.87458017752799,0.459199285636516,0.0125924926312055,0.0357445395717497
"70_7","nuc_4mer","PB2","H8N4",0,1,0.808084977815561,0.344390899939171,0.0272158802940559,0.0524594890743372
"70_7","nuc_4mer","PB2","H8N4",0,10,0.804325821322775,0.311611835136324,0.0258138037924032,0.0481713440200412
"70_7","nuc_4mer","PB2","H8N4",0.5,0.001,0.938702405785009,0.635377277821078,0.00693276378938223,0.0427699017508321
"70_7","nuc_4mer","PB2","H8N4",0.5,0.01,0.901445919034013,0.519548138695965,0.0141235855540849,0.060038374422372
"70_7","nuc_4mer","PB2","H8N4",0.5,0.1,0.793003925241982,0.317154303165896,0.0300993591400032,0.0546520335977883
"70_7","nuc_4mer","PB2","H8N4",0.5,1,0.58406786522986,0,0.466356770421551,0
"70_7","nuc_4mer","PB2","H8N4",0.5,10,0.58406786522986,0,0.466356770421551,0
"70_7","nuc_4mer","PB2","H8N4",1,0.001,0.93540495850421,0.619639352412043,0.00400127946295311,0.0350971610012675
"70_7","nuc_4mer","PB2","H8N4",1,0.01,0.877402586566541,0.464491541460228,0.0212834786937441,0.0616510199390823
"70_7","nuc_4mer","PB2","H8N4",1,0.1,0.768009390669154,0.286737697783066,0.0321367375620588,0.054965288320211
"70_7","nuc_4mer","PB2","H8N4",1,1,0.58406786522986,0,0.466356770421551,0
"70_7","nuc_4mer","PB2","H8N4",1,10,0.58406786522986,0,0.466356770421551,0
"70_7","nuc_4mer","PB2","H9N2",0,0.001,0.93585100286533,0.662611091770921,0.0167915937121993,0.0550230434530066
"70_7","nuc_4mer","PB2","H9N2",0,0.01,0.93585100286533,0.662611091770921,0.0167915937121993,0.0550230434530066
"70_7","nuc_4mer","PB2","H9N2",0,0.1,0.926113794514941,0.630345666176807,0.0174908723001427,0.0524499855508201
"70_7","nuc_4mer","PB2","H9N2",0,1,0.918667212443717,0.6046481515792,0.0177535424764349,0.0523147816782222
"70_7","nuc_4mer","PB2","H9N2",0,10,0.902644289807614,0.530408006713191,0.0250056036120282,0.0582915269499686
"70_7","nuc_4mer","PB2","H9N2",0.5,0.001,0.949024969300041,0.698943474896924,0.0133537575769146,0.0462050653653101
"70_7","nuc_4mer","PB2","H9N2",0.5,0.01,0.935284486287352,0.661872620052688,0.0192671425600029,0.0739194362138162
"70_7","nuc_4mer","PB2","H9N2",0.5,0.1,0.906642652476463,0.564139026806464,0.0217895264201624,0.0462644375762033
"70_7","nuc_4mer","PB2","H9N2",0.5,1,0.753537453950061,0,0.378116074518618,0
"70_7","nuc_4mer","PB2","H9N2",0.5,10,0.753537453950061,0,0.378116074518618,0
"70_7","nuc_4mer","PB2","H9N2",1,0.001,0.946735980352026,0.688089326421404,0.0122540104638303,0.0412829656719058
"70_7","nuc_4mer","PB2","H9N2",1,0.01,0.930699959066721,0.641607425577225,0.0146587437831718,0.0470497593520424
"70_7","nuc_4mer","PB2","H9N2",1,0.1,0.87112893982808,0.473416312296195,0.0266772610815955,0.0485014265744785
"70_7","nuc_4mer","PB2","H9N2",1,1,0.753537453950061,0,0.378116074518618,0
"70_7","nuc_4mer","PB2","H9N2",1,10,0.753537453950061,0,0.378116074518618,0
"70_7","nuc_5mer","PB2","H10N8",0,0.001,0.930290641079127,0.590098034849795,0.0139594261560011,0.0477382294607688
"70_7","nuc_5mer","PB2","H10N8",0,0.01,0.930290641079127,0.590098034849795,0.0139594261560011,0.0477382294607688
"70_7","nuc_5mer","PB2","H10N8",0,0.1,0.916144068975108,0.547537028901094,0.014849821703518,0.0399475792294639
"70_7","nuc_5mer","PB2","H10N8",0,1,0.850678904185788,0.405897462311571,0.0249638912167876,0.0426198576696613
"70_7","nuc_5mer","PB2","H10N8",0,10,0.796996245306633,0.322758433169026,0.0208781059289759,0.0210154255305116
"70_7","nuc_5mer","PB2","H10N8",0.5,0.001,0.945837852871645,0.641692757384719,0.00738836434778218,0.0387100734762995
"70_7","nuc_5mer","PB2","H10N8",0.5,0.01,0.91568238075372,0.538178229905414,0.015484978393982,0.0498514803627432
"70_7","nuc_5mer","PB2","H10N8",0.5,0.1,0.796055068836045,0.317255237492043,0.019080161492354,0.0202749776155509
"70_7","nuc_5mer","PB2","H10N8",0.5,1,0.75583145598665,0,0.382876033433956,0
"70_7","nuc_5mer","PB2","H10N8",0.5,10,0.75583145598665,0,0.382876033433956,0
"70_7","nuc_5mer","PB2","H10N8",1,0.001,0.938297316089556,0.599010623304229,0.00628366252870386,0.0436054600728976
"70_7","nuc_5mer","PB2","H10N8",1,0.01,0.888827701293283,0.472319206960202,0.0189947776792499,0.0463000387273411
"70_7","nuc_5mer","PB2","H10N8",1,0.1,0.778623279098874,0.291897510381889,0.0329567317602551,0.0362883149529353
"70_7","nuc_5mer","PB2","H10N8",1,1,0.75583145598665,0,0.382876033433956,0
"70_7","nuc_5mer","PB2","H10N8",1,10,0.75583145598665,0,0.382876033433956,0
"70_7","nuc_5mer","PB2","H16N3",0,0.001,0.940425378651191,0.640146596063551,0.0117499003418411,0.0699831699897933
"70_7","nuc_5mer","PB2","H16N3",0,0.01,0.940425378651191,0.640146596063551,0.0117499003418411,0.0699831699897933
"70_7","nuc_5mer","PB2","H16N3",0,0.1,0.924347461287174,0.585412336115535,0.00804958569676476,0.0426252115841814
"70_7","nuc_5mer","PB2","H16N3",0,1,0.860524211542807,0.430013921910332,0.0180291559003209,0.0440075311090709
"70_7","nuc_5mer","PB2","H16N3",0,10,0.801899730023345,0.328370465400343,0.0119032416430238,0.0275608088229657
"70_7","nuc_5mer","PB2","H16N3",0.5,0.001,0.953658610703641,0.687624572591143,0.00897590699144485,0.0650274895373094
"70_7","nuc_5mer","PB2","H16N3",0.5,0.01,0.926244300439983,0.587434688016483,0.0134903598507262,0.066335000182977
"70_7","nuc_5mer","PB2","H16N3",0.5,0.1,0.80851576470449,0.336909118214792,0.0181539744312852,0.033261513716493
"70_7","nuc_5mer","PB2","H16N3",0.5,1,0.413782000668441,0,0.46616402296871,0
"70_7","nuc_5mer","PB2","H16N3",0.5,10,0.413782000668441,0,0.46616402296871,0
"70_7","nuc_5mer","PB2","H16N3",1,0.001,0.950356723911188,0.673885781061557,0.0081697695401748,0.055426155543782
"70_7","nuc_5mer","PB2","H16N3",1,0.01,0.911112009553508,0.540164478748155,0.0134257427730492,0.0579438668813054
"70_7","nuc_5mer","PB2","H16N3",1,0.1,0.786292374507152,0.305079302965139,0.0153827988137719,0.0301391927082034
"70_7","nuc_5mer","PB2","H16N3",1,1,0.413782000668441,0,0.46616402296871,0
"70_7","nuc_5mer","PB2","H16N3",1,10,0.413782000668441,0,0.46616402296871,0
"70_7","nuc_5mer","PB2","H3N8",0,0.001,0.934436302572323,0.634075855659453,0.00823846295268164,0.0369278792816823
"70_7","nuc_5mer","PB2","H3N8",0,0.01,0.934436302572323,0.634075855659453,0.00823846295268164,0.0369278792816823
"70_7","nuc_5mer","PB2","H3N8",0,0.1,0.914769864895809,0.568107391069728,0.00832096076505774,0.034137940680451
"70_7","nuc_5mer","PB2","H3N8",0,1,0.850221357148309,0.420272616224897,0.012116644315333,0.0273220578438583
"70_7","nuc_5mer","PB2","H3N8",0,10,0.797780067679312,0.328452973952858,0.00787491680818943,0.0225130569074138
"70_7","nuc_5mer","PB2","H3N8",0.5,0.001,0.945028369335674,0.66491889532187,0.00607556627412894,0.0358335255393374
"70_7","nuc_5mer","PB2","H3N8",0.5,0.01,0.918800091596061,0.579375589223967,0.00993543855537969,0.0411989431007342
"70_7","nuc_5mer","PB2","H3N8",0.5,0.1,0.806860799430069,0.35161902673277,0.00540645452286254,0.011485440789317
"70_7","nuc_5mer","PB2","H3N8",0.5,1,0.582950410910109,0,0.460696365077606,0
"70_7","nuc_5mer","PB2","H3N8",0.5,10,0.582950410910109,0,0.460696365077606,0
"70_7","nuc_5mer","PB2","H3N8",1,0.001,0.943008167315472,0.654743634315718,0.0119451300350981,0.0567866776733652
"70_7","nuc_5mer","PB2","H3N8",1,0.01,0.901657634277282,0.531098942838143,0.0074642086174427,0.0313978810103829
"70_7","nuc_5mer","PB2","H3N8",1,0.1,0.792733379131364,0.332842686016544,0.00911610713831437,0.0200035288768233
"70_7","nuc_5mer","PB2","H3N8",1,1,0.582950410910109,0,0.460696365077606,0
"70_7","nuc_5mer","PB2","H3N8",1,10,0.582950410910109,0,0.460696365077606,0
"70_7","nuc_5mer","PB2","H4N6",0,0.001,0.932034226548359,0.630717458222392,0.0165462211949625,0.0789801418756906
"70_7","nuc_5mer","PB2","H4N6",0,0.01,0.932034226548359,0.630717458222392,0.0165462211949625,0.0789801418756906
"70_7","nuc_5mer","PB2","H4N6",0,0.1,0.917433515182968,0.579076234095538,0.0189699136228029,0.0875129269783522
"70_7","nuc_5mer","PB2","H4N6",0,1,0.853481513360252,0.429016129266442,0.0204230457969959,0.0525265787714648
"70_7","nuc_5mer","PB2","H4N6",0,10,0.788023239623812,0.32796476180713,0.0204720119998146,0.0455692132120958
"70_7","nuc_5mer","PB2","H4N6",0.5,0.001,0.945113476703416,0.659826652104459,0.00332811386322617,0.0276794776172903
"70_7","nuc_5mer","PB2","H4N6",0.5,0.01,0.916427224282622,0.575284338898126,0.0195393494487734,0.0806439982348893
