"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"M1","prot_ctriad",0.835,0.223,0.815,0.854,0.956,1,0,0.836,0.73,0.84,0.172,0.986,0.172,0.73,0.278,0.044,0.032,0.185,0.785
"M1","prot_pseaac",0.847,0.196,0.828,0.865,0.956,1,0,0.81,0.587,0.859,0.159,0.979,0.159,0.587,0.251,0.044,0.026,0.16,0.723
"NA","cds_compbias",0.965,0.546,0.954,0.974,0.956,0.066,0.263,0.888,0.524,0.985,0.611,0.978,0.611,0.524,0.564,0.044,0.023,0.037,0.754
"NA","nuc_2mer",0.961,0.466,0.949,0.97,0.956,0.242,0.064,0.846,0.429,0.985,0.562,0.974,0.562,0.429,0.486,0.044,0.019,0.033,0.707
"NA","nuc_3mer",0.962,0.476,0.951,0.971,0.956,0.167,0.031,0.9,0.429,0.986,0.587,0.974,0.587,0.429,0.495,0.044,0.019,0.032,0.707
"NA","nuc_4mer",0.963,0.507,0.952,0.972,0.956,0.136,0.134,0.923,0.476,0.985,0.588,0.976,0.588,0.476,0.526,0.044,0.021,0.035,0.731
"NA","nuc_5mer",0.96,0.496,0.948,0.969,0.956,0.285,0.511,0.906,0.492,0.981,0.544,0.977,0.544,0.492,0.517,0.044,0.021,0.039,0.737
"NA","nuc_6mer",0.96,0.504,0.948,0.969,0.956,0.285,0.694,0.908,0.508,0.98,0.542,0.978,0.542,0.508,0.525,0.044,0.022,0.041,0.744
"NA","prot_2mer",0.95,0.46,0.938,0.961,0.956,0.888,0.126,0.901,0.54,0.969,0.442,0.979,0.442,0.54,0.486,0.044,0.023,0.053,0.754
"NA","prot_ctdc",0.955,0.473,0.943,0.965,0.956,0.633,0.804,0.896,0.508,0.975,0.485,0.978,0.485,0.508,0.496,0.044,0.022,0.046,0.742
"NA","prot_ctdd",0.959,0.475,0.948,0.969,0.956,0.332,0.298,0.909,0.46,0.982,0.537,0.976,0.537,0.46,0.496,0.044,0.02,0.037,0.721
"NA","prot_ctdt",0.963,0.507,0.952,0.972,0.956,0.136,0.134,0.915,0.476,0.985,0.588,0.976,0.588,0.476,0.526,0.044,0.021,0.035,0.731
"NA","prot_ctriad",0.95,0.452,0.938,0.961,0.956,0.888,0.195,0.878,0.524,0.97,0.44,0.978,0.44,0.524,0.478,0.044,0.023,0.052,0.747
"NA","prot_pseaac",0.962,0.51,0.951,0.971,0.956,0.167,0.281,0.858,0.492,0.983,0.574,0.977,0.574,0.492,0.53,0.044,0.021,0.037,0.738
"NP","cds_compbias",0.939,0.291,0.926,0.951,0.956,0.999,0.749,0.879,0.333,0.967,0.313,0.97,0.313,0.333,0.323,0.044,0.015,0.046,0.65
"NP","nuc_2mer",0.934,0.251,0.92,0.947,0.956,1,0.538,0.872,0.302,0.963,0.271,0.968,0.271,0.302,0.286,0.044,0.013,0.048,0.632
"NP","nuc_3mer",0.948,0.332,0.935,0.959,0.956,0.943,0.356,0.887,0.333,0.976,0.389,0.97,0.389,0.333,0.359,0.044,0.015,0.037,0.655
"NP","nuc_4mer",0.952,0.365,0.94,0.963,0.956,0.801,0.149,0.9,0.349,0.98,0.44,0.971,0.44,0.349,0.389,0.044,0.015,0.035,0.664
"NP","nuc_5mer",0.956,0.42,0.945,0.966,0.956,0.533,0.131,0.903,0.397,0.982,0.5,0.973,0.5,0.397,0.442,0.044,0.017,0.035,0.689
"NP","nuc_6mer",0.957,0.461,0.945,0.967,0.956,0.482,0.525,0.912,0.46,0.98,0.509,0.976,0.509,0.46,0.483,0.044,0.02,0.039,0.72
"NP","prot_2mer",0.889,0.238,0.872,0.905,0.956,1,0,0.889,0.508,0.907,0.199,0.976,0.199,0.508,0.286,0.044,0.022,0.111,0.707
"NP","prot_ctdc",0.896,0.231,0.879,0.911,0.956,1,0,0.823,0.46,0.915,0.199,0.974,0.199,0.46,0.278,0.044,0.02,0.101,0.688
