"focgene","featname","splitrule","min.node.size","mtry","Accuracy","Kappa","AccuracySD","KappaSD","fold"
"HA","prot_2mer","gini","25",20,0.960665453394524,0.608277161874463,0.00782353371885552,0.0511066833611955,2
"HA","prot_2mer","gini","45",20,0.957013768001266,0.588623066435798,0.00916620208817945,0.0527405428696016,2
"HA","prot_2mer","gini","5",20,0.963455451811996,0.574598522221092,0.00887123171092616,0.118238246152124,3
"HA","prot_2mer","gini","25",20,0.957549454027536,0.544394139157061,0.00893105614525547,0.0968291513916639,3
"HA","prot_2mer","gini","45",20,0.95304953315398,0.52098094887355,0.00714260618786507,0.0797441516300718,3
"HA","prot_2mer","gini","5",20,0.962630163000475,0.571800030041864,0.00898482450501085,0.0845742017500085,4
"HA","prot_2mer","gini","25",20,0.957289919291027,0.561038780216953,0.0112271523821317,0.0800941197087522,4
"HA","prot_2mer","gini","45",20,0.957570026902991,0.580128751781382,0.010560054372978,0.0674022277083625,4
"HA","prot_2mer","gini","5",20,0.965430447855673,0.618018698094111,0.00816662717711815,0.0621959927439724,5
"HA","prot_2mer","gini","25",20,0.962338186421902,0.613515057820834,0.00860304730849724,0.0642001701591398,5
"HA","prot_2mer","gini","45",20,0.958125494540275,0.593935953737821,0.0101116588286698,0.0601862444787133,5
"HA","prot_ctdc","gini","5",6,0.967126918816268,0.599850704431387,0.0114678374216676,0.126252713999447,1
"HA","prot_ctdc","gini","25",6,0.964595663870866,0.585749712891011,0.00975365243357819,0.109177640197777,1
"HA","prot_ctdc","gini","45",6,0.960944769742048,0.565112431415932,0.0105450538733141,0.112588510285568,1
"HA","prot_ctdc","gini","5",6,0.970218388985599,0.644664406735007,0.00750719576262413,0.0707118728128664,2
"HA","prot_ctdc","gini","25",6,0.966004114575091,0.613980680893698,0.00841360756384203,0.0775964003309767,2
"HA","prot_ctdc","gini","45",6,0.958696787466371,0.567200576856342,0.00991122398753539,0.078971179601812,2
"HA","prot_ctdc","gini","5",6,0.96795379015667,0.582129011812676,0.00726751202064894,0.116989250928121,3
"HA","prot_ctdc","gini","25",6,0.965987498021839,0.577238602375239,0.00625175052882001,0.104058630971243,3
"HA","prot_ctdc","gini","45",6,0.960924988131033,0.548273774028046,0.00596923126416285,0.0967859307756892,3
"HA","prot_ctdc","gini","5",6,0.969655008703909,0.631726780604356,0.00943584458142097,0.0767954628706888,4
"HA","prot_ctdc","gini","25",6,0.966564329799019,0.614471046287306,0.00872572216950424,0.0768611387976831,4
"HA","prot_ctdc","gini","45",6,0.960381389460358,0.583930743599005,0.0118798663999977,0.0848443533303718,4
"HA","prot_ctdc","gini","5",6,0.969925621142586,0.631581259054899,0.00441250341447522,0.0605533895594791,5
"HA","prot_ctdc","gini","25",6,0.970207311283431,0.648867136240777,0.00481560357517941,0.0627293510112805,5
"HA","prot_ctdc","gini","45",6,0.965991454344042,0.619640586798599,0.00584446268133078,0.0660287018190197,5
"HA","prot_ctdd","gini","5",14,0.967687925304637,0.600495252890955,0.00751808397160794,0.101276646257883,1
"HA","prot_ctdd","gini","25",14,0.965157461623675,0.587655486824616,0.0075214486204583,0.0870178230360514,1
"HA","prot_ctdd","gini","45",14,0.962628580471594,0.580968857184012,0.00879578211054864,0.0950713125291664,1
"HA","prot_ctdd","gini","5",14,0.970499287862003,0.648642652743285,0.00928751076566879,0.0972181474896814,2
"HA","prot_ctdd","gini","25",14,0.9665659123279,0.624936070001387,0.009398507583541,0.0872494109446292,2
"HA","prot_ctdd","gini","45",14,0.962351637917392,0.605923666027137,0.0110077147947296,0.0844763089623083,2
"HA","prot_ctdd","gini","5",14,0.967111093527457,0.581802226535669,0.00857384446074176,0.130539986918465,3
"HA","prot_ctdd","gini","25",14,0.964860737458459,0.572101797639141,0.00702731176529169,0.1005778221909,3
"HA","prot_ctdd","gini","45",14,0.961767684760247,0.555222624923128,0.00807197878854007,0.106519303653074,3
"HA","prot_ctdd","gini","5",14,0.964596455135306,0.569679404420925,0.008292228224844,0.087109220917406,4
"HA","prot_ctdd","gini","25",14,0.961225668618452,0.554804552271528,0.00855820688411676,0.0834087013346674,4
"HA","prot_ctdd","gini","45",14,0.95616711504985,0.53269086461997,0.0100164460873094,0.088130291573559,4
"HA","prot_ctdd","gini","5",14,0.969924829878145,0.632030050932111,0.0063727348935369,0.0617828610944935,5
"HA","prot_ctdd","gini","25",14,0.966834150973255,0.616192228718748,0.00493028548765984,0.045248692187939,5
"HA","prot_ctdd","gini","45",14,0.960652793163475,0.574598954953688,0.00512242276553522,0.0472651182681215,5
"HA","prot_ctdt","gini","5",6,0.965441525557841,0.567677720867978,0.00897954899250174,0.122863454588532,1
"HA","prot_ctdt","gini","25",6,0.962913435670201,0.56384081959909,0.00961371280333857,0.128180162723302,1
"HA","prot_ctdt","gini","45",6,0.962069156512106,0.56297450080282,0.0099268433513818,0.129064579595325,1
"HA","prot_ctdt","gini","5",6,0.969094793479981,0.627862840767635,0.0074827466512978,0.0765698997330741,2
"HA","prot_ctdt","gini","25",6,0.966846019939864,0.62586708623812,0.00895648590149237,0.0922237432497313,2
"HA","prot_ctdt","gini","45",6,0.962350846652951,0.594454715766323,0.00762129330291086,0.073761887890663,2
"HA","prot_ctdt","gini","5",6,0.967111884791897,0.578929674981599,0.00926059053567064,0.14457884641828,3
"HA","prot_ctdt","gini","25",6,0.96429973097009,0.570017663433163,0.00826048057595,0.111472050586347,3
"HA","prot_ctdt","gini","45",6,0.960364772907106,0.544935799377048,0.00860820593704666,0.113010848274704,3
"HA","prot_ctdt","gini","5",6,0.967406235163792,0.588351285437672,0.00677970325193952,0.0708344283368544,4
"HA","prot_ctdt","gini","25",6,0.963754549770533,0.571360107070832,0.00718233662183925,0.0573815135577819,4
"HA","prot_ctdt","gini","45",6,0.957011394207944,0.537219403339428,0.0101710938445293,0.0746258853358263,4
"HA","prot_ctdt","gini","5",6,0.969646304795063,0.635282550077852,0.00414438711476393,0.0448587459956166,5
"HA","prot_ctdt","gini","25",6,0.966835733502136,0.62438071408196,0.00526248829575289,0.0414440583914062,5
"HA","prot_ctdt","gini","45",6,0.962621459091628,0.597266686710859,0.00700292767440689,0.0525808579985732,5
"HA","prot_ctriad","gini","5",18,0.960102073112834,0.570025184271482,0.00952635728019152,0.0965842167310503,1
"HA","prot_ctriad","gini","25",18,0.953919132774173,0.546948409059657,0.0109378177002792,0.0866061336399894,1
"HA","prot_ctriad","gini","45",18,0.951671150498497,0.540227330201823,0.0119058804795881,0.0811832576047274,1
"HA","prot_ctriad","gini","5",18,0.963193543282165,0.615550238001918,0.00798743051280022,0.0540181086992809,2
"HA","prot_ctriad","gini","25",18,0.955326000949517,0.574875060500207,0.0108691508642205,0.0625877833169092,2
"HA","prot_ctriad","gini","45",18,0.953078018673841,0.562918540499247,0.00999542009141406,0.0545141735815431,2
"HA","prot_ctriad","gini","5",18,0.958957904731761,0.554200794394565,0.00859343495924131,0.0931210575467399,3
"HA","prot_ctriad","gini","25",18,0.952771799335338,0.525012834704894,0.00924816832480226,0.0859300457992486,3
"HA","prot_ctriad","gini","45",18,0.94743076436145,0.500617990559979,0.00897333030951913,0.0739574583337055,3
"HA","prot_ctriad","gini","5",18,0.961221712296249,0.590382325645592,0.0092705249343633,0.0636595364617675,4
"HA","prot_ctriad","gini","25",18,0.954197657857256,0.558879041451012,0.00880945124301347,0.0480278500635779,4
"HA","prot_ctriad","gini","45",18,0.949139895553094,0.534261392421323,0.0108139718322448,0.0569487970274164,4
"HA","prot_ctriad","gini","5",18,0.960094160468429,0.592934384732915,0.0128151453489198,0.0789685722973532,5
