"cluster_set","featset","focgene","subtype","accuracy"
"60_6","nuc_4mer","M1","H4N8",0.928571428571429
"60_6","nuc_4mer","M1","H5N1",0.211678832116788
"60_6","nuc_4mer","M1","H5N6",0.916666666666667
"60_6","nuc_4mer","M1","H7N3",0
"60_6","nuc_4mer","M1","H7N4",0
"60_6","nuc_4mer","M1","H7N7",1
"60_6","nuc_4mer","M1","H7N9",0.910714285714286
"60_6","nuc_4mer","M1","H8N4",0.342105263157895
"60_6","nuc_4mer","M1","H9N2",0.923076923076923
"60_6","nuc_5mer","M1","H10N8",1
"60_6","nuc_5mer","M1","H16N3",0.520754716981132
"60_6","nuc_5mer","M1","H3N8",1
"60_6","nuc_5mer","M1","H4N6",0.876879026485326
"60_6","nuc_5mer","M1","H4N8",0.886554621848739
"60_6","nuc_5mer","M1","H5N1",0.45985401459854
"60_6","nuc_5mer","M1","H5N6",0.5
"60_6","nuc_5mer","M1","H7N3",0
"60_6","nuc_5mer","M1","H7N4",0
"60_6","nuc_5mer","M1","H7N7",0
"60_6","nuc_5mer","M1","H7N9",0.776785714285714
"60_6","nuc_5mer","M1","H8N4",0.967105263157895
"60_6","nuc_5mer","M1","H9N2",0.923076923076923
"60_6","nuc_6mer","M1","H10N8",1
"60_6","nuc_6mer","M1","H16N3",0.50188679245283
"60_6","nuc_6mer","M1","H3N8",1
"60_6","nuc_6mer","M1","H4N6",0.931997136721546
"60_6","nuc_6mer","M1","H4N8",0.840336134453782
"60_6","nuc_6mer","M1","H5N1",0.072992700729927
"60_6","nuc_6mer","M1","H5N6",0.333333333333333
"60_6","nuc_6mer","M1","H7N3",0
"60_6","nuc_6mer","M1","H7N4",0
"60_6","nuc_6mer","M1","H7N7",0
"60_6","nuc_6mer","M1","H7N9",0.935267857142857
"60_6","nuc_6mer","M1","H8N4",0.973684210526316
"60_6","nuc_6mer","M1","H9N2",0.846153846153846
"60_6","prot_2mer","M1","H10N8",1
"60_6","prot_2mer","M1","H16N3",0.660377358490566
"60_6","prot_2mer","M1","H3N8",1
"60_6","prot_2mer","M1","H4N6",0.930565497494631
"60_6","prot_2mer","M1","H4N8",0.983193277310924
"60_6","prot_2mer","M1","H5N1",0.153284671532847
"60_6","prot_2mer","M1","H5N6",1
"60_6","prot_2mer","M1","H7N3",0
