"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"NS1","nuc_3mer",0.97,0.554,0.965,0.975,0.958,0,0,0.956,0.992,0.465,0.977,0.731,0.977,0.992,0.985,0.958,0.951,0.973,0.729
"NS1","nuc_4mer",0.97,0.556,0.964,0.975,0.958,0,0,0.959,0.992,0.476,0.977,0.712,0.977,0.992,0.984,0.958,0.95,0.972,0.734
"NS1","nuc_5mer",0.971,0.597,0.966,0.976,0.958,0,0,0.959,0.99,0.54,0.98,0.706,0.98,0.99,0.985,0.958,0.949,0.968,0.765
"NS1","nuc_6mer",0.972,0.594,0.966,0.976,0.958,0,0,0.956,0.991,0.524,0.979,0.726,0.979,0.991,0.985,0.958,0.95,0.97,0.758
"NS1","prot_2mer",0.977,0.628,0.972,0.981,0.958,0,0,0.955,0.999,0.481,0.978,0.947,0.978,0.999,0.988,0.958,0.957,0.979,0.74
"NS1","prot_ctdc",0.974,0.6,0.969,0.979,0.958,0,0,0.946,0.996,0.481,0.978,0.841,0.978,0.996,0.987,0.958,0.954,0.976,0.739
"NS1","prot_ctdd",0.976,0.623,0.971,0.981,0.958,0,0,0.961,0.998,0.487,0.978,0.91,0.978,0.998,0.988,0.958,0.956,0.978,0.742
"NS1","prot_ctdt",0.978,0.656,0.973,0.982,0.958,0,0,0.958,0.998,0.519,0.979,0.933,0.979,0.998,0.989,0.958,0.956,0.977,0.759
"NS1","prot_ctriad",0.975,0.604,0.971,0.98,0.958,0,0,0.953,0.998,0.465,0.977,0.906,0.977,0.998,0.987,0.958,0.956,0.978,0.732
"NS1","prot_pseaac",0.978,0.656,0.973,0.982,0.958,0,0,0.949,0.998,0.524,0.979,0.916,0.979,0.998,0.989,0.958,0.956,0.976,0.761
"PA","cds_compbias",0.967,0.476,0.962,0.972,0.958,0.001,0,0.945,0.993,0.374,0.973,0.714,0.973,0.993,0.983,0.958,0.952,0.978,0.684
"PA","nuc_2mer",0.967,0.462,0.961,0.972,0.958,0.001,0,0.93,0.994,0.358,0.972,0.713,0.972,0.994,0.983,0.958,0.952,0.979,0.676
"PA","nuc_3mer",0.967,0.467,0.961,0.972,0.958,0.001,0,0.943,0.993,0.369,0.973,0.697,0.973,0.993,0.983,0.958,0.951,0.978,0.681
"PA","nuc_4mer",0.97,0.524,0.964,0.975,0.958,0,0,0.948,0.994,0.417,0.975,0.757,0.975,0.994,0.984,0.958,0.952,0.977,0.706
"PA","nuc_5mer",0.968,0.517,0.962,0.973,0.958,0,0,0.949,0.992,0.433,0.976,0.692,0.976,0.992,0.983,0.958,0.95,0.974,0.712
"PA","nuc_6mer",0.969,0.521,0.963,0.973,0.958,0,0,0.946,0.992,0.433,0.976,0.704,0.976,0.992,0.984,0.958,0.95,0.974,0.713
"PA","prot_2mer",0.975,0.597,0.97,0.979,0.958,0,0,0.944,0.997,0.465,0.977,0.879,0.977,0.997,0.987,0.958,0.955,0.978,0.731
"PA","prot_ctdc",0.971,0.524,0.966,0.976,0.958,0,0,0.923,0.996,0.401,0.974,0.815,0.974,0.996,0.985,0.958,0.954,0.979,0.699
"PA","prot_ctdd",0.975,0.589,0.97,0.979,0.958,0,0,0.94,0.997,0.455,0.977,0.885,0.977,0.997,0.987,0.958,0.955,0.978,0.726
"PA","prot_ctdt",0.974,0.576,0.969,0.979,0.958,0,0,0.934,0.998,0.439,0.976,0.891,0.976,0.998,0.987,0.958,0.956,0.979,0.718
"PA","prot_ctriad",0.975,0.61,0.97,0.979,0.958,0,0,0.943,0.996,0.492,0.978,0.844,0.978,0.996,0.987,0.958,0.954,0.975,0.744
"PA","prot_pseaac",0.972,0.556,0.967,0.977,0.958,0,0,0.92,0.996,0.439,0.976,0.812,0.976,0.996,0.986,0.958,0.954,0.977,0.717
"PB1","cds_compbias",0.967,0.46,0.962,0.972,0.958,0.001,0,0.954,0.994,0.353,0.972,0.725,0.972,0.994,0.983,0.958,0.952,0.98,0.674
"PB1","nuc_2mer",0.963,0.369,0.957,0.969,0.958,0.037,0,0.939,0.994,0.273,0.969,0.654,0.969,0.994,0.981,0.958,0.952,0.982,0.633
"PB1","nuc_3mer",0.967,0.439,0.961,0.972,0.958,0.001,0,0.947,0.995,0.326,0.971,0.744,0.971,0.995,0.983,0.958,0.953,0.982,0.661
"PB1","nuc_4mer",0.967,0.462,0.961,0.972,0.958,0.001,0,0.956,0.994,0.358,0.972,0.713,0.972,0.994,0.983,0.958,0.952,0.979,0.676
"PB1","nuc_5mer",0.966,0.468,0.96,0.971,0.958,0.005,0,0.953,0.991,0.385,0.973,0.655,0.973,0.991,0.982,0.958,0.949,0.975,0.688
"PB1","nuc_6mer",0.964,0.444,0.958,0.97,0.958,0.018,0,0.948,0.991,0.364,0.973,0.63,0.973,0.991,0.982,0.958,0.949,0.976,0.677
"PB1","prot_2mer",0.973,0.569,0.968,0.977,0.958,0,0,0.951,0.996,0.449,0.976,0.824,0.976,0.996,0.986,0.958,0.954,0.977,0.722
"PB1","prot_ctdc",0.972,0.54,0.966,0.976,0.958,0,0,0.923,0.996,0.417,0.975,0.821,0.975,0.996,0.985,0.958,0.954,0.979,0.707
"PB1","prot_ctdd",0.973,0.574,0.968,0.977,0.958,0,0,0.933,0.995,0.46,0.977,0.811,0.977,0.995,0.986,0.958,0.953,0.976,0.728
"PB1","prot_ctdt",0.974,0.582,0.969,0.978,0.958,0,0,0.943,0.997,0.455,0.977,0.859,0.977,0.997,0.987,0.958,0.955,0.978,0.726
"PB1","prot_ctriad",0.972,0.556,0.967,0.977,0.958,0,0,0.946,0.996,0.439,0.976,0.812,0.976,0.996,0.986,0.958,0.954,0.977,0.717
"PB1","prot_pseaac",0.973,0.558,0.967,0.977,0.958,0,0,0.925,0.996,0.433,0.976,0.835,0.976,0.996,0.986,0.958,0.954,0.978,0.715
"PB2","cds_compbias",0.974,0.575,0.969,0.979,0.958,0,0,0.961,0.998,0.433,0.976,0.91,0.976,0.998,0.987,0.958,0.956,0.98,0.716
"PB2","nuc_2mer",0.969,0.452,0.963,0.974,0.958,0,0,0.931,0.997,0.321,0.971,0.845,0.971,0.997,0.984,0.958,0.955,0.984,0.659
"PB2","nuc_3mer",0.973,0.555,0.968,0.978,0.958,0,0,0.955,0.998,0.417,0.975,0.886,0.975,0.998,0.986,0.958,0.956,0.98,0.707
"PB2","nuc_4mer",0.975,0.604,0.971,0.98,0.958,0,0,0.962,0.998,0.465,0.977,0.906,0.977,0.998,0.987,0.958,0.956,0.978,0.732
"PB2","nuc_5mer",0.975,0.601,0.97,0.98,0.958,0,0,0.963,0.998,0.465,0.977,0.897,0.977,0.998,0.987,0.958,0.956,0.978,0.731
"PB2","nuc_6mer",0.975,0.599,0.97,0.979,0.958,0,0,0.965,0.997,0.465,0.977,0.888,0.977,0.997,0.987,0.958,0.955,0.978,0.731
"PB2","prot_2mer",0.975,0.621,0.971,0.98,0.958,0,0,0.956,0.996,0.503,0.979,0.855,0.979,0.996,0.987,0.958,0.954,0.975,0.749
"PB2","prot_ctdc",0.973,0.582,0.968,0.978,0.958,0,0,0.94,0.995,0.471,0.977,0.807,0.977,0.995,0.986,0.958,0.953,0.975,0.733
"PB2","prot_ctdd",0.976,0.623,0.971,0.98,0.958,0,0,0.959,0.996,0.503,0.979,0.862,0.979,0.996,0.987,0.958,0.955,0.975,0.75
"PB2","prot_ctdt",0.976,0.628,0.971,0.98,0.958,0,0,0.94,0.997,0.503,0.979,0.879,0.979,0.997,0.988,0.958,0.955,0.976,0.75
"PB2","prot_ctriad",0.977,0.637,0.972,0.981,0.958,0,0,0.952,0.997,0.513,0.979,0.881,0.979,0.997,0.988,0.958,0.955,0.975,0.755
"PB2","prot_pseaac",0.975,0.609,0.97,0.98,0.958,0,0,0.947,0.997,0.481,0.978,0.874,0.978,0.997,0.987,0.958,0.955,0.977,0.739
