"","param","s1","subtype"
"172","glmnet_nuc_6mer_HA",-0.390765870525141,"H8N4"
"173","xgb_cds_compbias_PB2",-0.123530988963354,"H8N4"
"174","xgb_nuc_4mer_NA",-0.0834099547214628,"H8N4"
"175","xgb_nuc_6mer_NA",-0.0170280913308975,"H8N4"
"176","xgb_nuc_6mer_PB2",-0.214122038840416,"H8N4"
"177","xgb_prot_2mer_HA",-0.0266145910255809,"H8N4"
"178","xgb_prot_ctdd_PB2",-0.0499536243928046,"H8N4"
"179","svmlin_prot_ctdc_M1",-0.419725712168939,"H8N4"
"180","svmlin_prot_pseaac_M1",-0.0586424671182352,"H8N4"
"181","lambda",0.01,"H8N4"
"182","(Intercept)",5.45101107969027,"H9N2"
"183","rf_cds_compbias_M1",0.114170741126279,"H9N2"
"184","rf_nuc_2mer_PB1",0.50033274162076,"H9N2"
"185","rf_nuc_2mer_PB2",0.700813943758484,"H9N2"
"186","rf_nuc_5mer_M1",-0.28979653580104,"H9N2"
"187","rf_nuc_6mer_NS1",-1.06119626832239,"H9N2"
"188","rf_prot_2mer_NS1",0.591636404560722,"H9N2"
"189","rf_prot_ctdc_NP",0.630155279246911,"H9N2"
"190","rf_prot_ctdc_PB1",0.0200745491202368,"H9N2"
"191","rf_prot_ctdc_PB2",0.209150877429449,"H9N2"
"192","rf_prot_ctdd_M1",-0.129035901259239,"H9N2"
"193","rf_prot_ctdd_PA",0.1272185692361,"H9N2"
"194","rf_prot_ctdt_NA",-1.25231859699967,"H9N2"
"195","rf_prot_ctdt_NS1",-0.450409226630877,"H9N2"
"196","rf_prot_ctriad_HA",-0.0237921865953303,"H9N2"
"197","rf_prot_ctriad_PB2",-0.190069012061148,"H9N2"
"198","rf_prot_pseaac_NS1",0.229098070383155,"H9N2"
"199","glmnet_cds_compbias_NP",-0.00610275341204439,"H9N2"
"200","glmnet_nuc_2mer_HA",0.3748942144558,"H9N2"
"201","glmnet_nuc_2mer_NS1",-0.190078497941309,"H9N2"
"202","glmnet_nuc_3mer_PB1",-0.100851873299857,"H9N2"
"203","glmnet_nuc_4mer_PB2",0.0618103897562797,"H9N2"
"204","glmnet_nuc_5mer_PB2",-0.674795239368935,"H9N2"
"205","glmnet_nuc_6mer_PB1",0.0239837735148989,"H9N2"
"206","glmnet_prot_ctdc_PA",-0.0704405629633261,"H9N2"
"207","glmnet_prot_pseaac_HA",-1.24740299511487,"H9N2"
"208","xgb_cds_compbias_PA",-0.0458345063085802,"H9N2"
"209","xgb_cds_compbias_PB2",-0.578297327683068,"H9N2"
