"focgene","featname","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","AUC","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"NP","prot_pseaac",0.972,0.536,0.967,0.977,0.958,0,0,0.923,0.406,0.997,0.844,0.975,0.844,0.406,0.549,0.042,0.017,0.02,0.702
"NS1","cds_compbias",0.97,0.571,0.965,0.975,0.958,0,0,0.961,0.503,0.991,0.701,0.978,0.701,0.503,0.586,0.042,0.021,0.03,0.747
"NS1","nuc_2mer",0.97,0.547,0.964,0.975,0.958,0,0,0.949,0.46,0.992,0.723,0.977,0.723,0.46,0.562,0.042,0.019,0.027,0.726
"NS1","nuc_3mer",0.971,0.564,0.965,0.976,0.958,0,0,0.954,0.476,0.992,0.736,0.977,0.736,0.476,0.578,0.042,0.02,0.027,0.734
"NS1","nuc_4mer",0.971,0.579,0.965,0.976,0.958,0,0,0.958,0.508,0.991,0.714,0.979,0.714,0.508,0.594,0.042,0.021,0.03,0.75
"NS1","nuc_5mer",0.971,0.602,0.966,0.976,0.958,0,0,0.958,0.545,0.99,0.708,0.98,0.708,0.545,0.616,0.042,0.023,0.032,0.768
"NS1","nuc_6mer",0.972,0.599,0.966,0.976,0.958,0,0,0.957,0.535,0.991,0.719,0.98,0.719,0.535,0.613,0.042,0.022,0.031,0.763
"NS1","prot_2mer",0.978,0.642,0.973,0.982,0.958,0,0,0.954,0.503,0.998,0.931,0.979,0.931,0.503,0.653,0.042,0.021,0.023,0.751
"NS1","prot_ctdc",0.975,0.602,0.97,0.979,0.958,0,0,0.943,0.476,0.997,0.864,0.977,0.864,0.476,0.614,0.042,0.02,0.023,0.736
"NS1","prot_ctdd",0.978,0.645,0.973,0.982,0.958,0,0,0.959,0.508,0.998,0.922,0.979,0.922,0.508,0.655,0.042,0.021,0.023,0.753
"NS1","prot_ctdt",0.978,0.659,0.974,0.982,0.958,0,0,0.956,0.519,0.999,0.942,0.979,0.942,0.519,0.669,0.042,0.022,0.023,0.759
"NS1","prot_ctriad",0.976,0.613,0.971,0.98,0.958,0,0,0.952,0.471,0.998,0.926,0.977,0.926,0.471,0.624,0.042,0.02,0.021,0.734
"NS1","prot_pseaac",0.978,0.656,0.973,0.982,0.958,0,0,0.95,0.524,0.998,0.916,0.979,0.916,0.524,0.667,0.042,0.022,0.024,0.761
"PA","cds_compbias",0.966,0.44,0.96,0.971,0.958,0.003,0,0.945,0.337,0.994,0.7,0.972,0.7,0.337,0.455,0.042,0.014,0.02,0.665
"PA","nuc_2mer",0.967,0.467,0.961,0.972,0.958,0.001,0,0.932,0.369,0.993,0.697,0.973,0.697,0.369,0.483,0.042,0.016,0.022,0.681
"PA","nuc_3mer",0.967,0.476,0.962,0.972,0.958,0.001,0,0.944,0.374,0.993,0.714,0.973,0.714,0.374,0.491,0.042,0.016,0.022,0.684
"PA","nuc_4mer",0.969,0.508,0.964,0.974,0.958,0,0,0.95,0.401,0.994,0.75,0.974,0.75,0.401,0.523,0.042,0.017,0.022,0.698
"PA","nuc_5mer",0.969,0.526,0.963,0.974,0.958,0,0,0.949,0.439,0.992,0.707,0.976,0.707,0.439,0.541,0.042,0.018,0.026,0.715
"PA","nuc_6mer",0.969,0.541,0.964,0.974,0.958,0,0,0.945,0.46,0.992,0.705,0.977,0.705,0.46,0.557,0.042,0.019,0.027,0.726
"PA","prot_2mer",0.975,0.597,0.97,0.979,0.958,0,0,0.942,0.465,0.997,0.879,0.977,0.879,0.465,0.608,0.042,0.02,0.022,0.731
"PA","prot_ctdc",0.971,0.524,0.966,0.976,0.958,0,0,0.922,0.401,0.996,0.815,0.974,0.815,0.401,0.538,0.042,0.017,0.021,0.699
"PA","prot_ctdd",0.974,0.587,0.969,0.979,0.958,0,0,0.94,0.455,0.997,0.876,0.977,0.876,0.455,0.599,0.042,0.019,0.022,0.726
"PA","prot_ctdt",0.974,0.589,0.969,0.979,0.958,0,0,0.934,0.46,0.997,0.869,0.977,0.869,0.46,0.601,0.042,0.019,0.022,0.728
"PA","prot_ctriad",0.975,0.61,0.97,0.979,0.958,0,0,0.944,0.492,0.996,0.844,0.978,0.844,0.492,0.622,0.042,0.021,0.025,0.744
"PA","prot_pseaac",0.973,0.571,0.968,0.977,0.958,0,0,0.922,0.455,0.996,0.817,0.977,0.817,0.455,0.584,0.042,0.019,0.023,0.725
"PB1","cds_compbias",0.967,0.464,0.962,0.972,0.958,0.001,0,0.953,0.358,0.994,0.72,0.972,0.72,0.358,0.479,0.042,0.015,0.021,0.676
"PB1","nuc_2mer",0.964,0.387,0.958,0.969,0.958,0.022,0,0.94,0.289,0.994,0.667,0.97,0.667,0.289,0.403,0.042,0.012,0.018,0.641
"PB1","nuc_3mer",0.966,0.434,0.961,0.971,0.958,0.002,0,0.946,0.326,0.994,0.718,0.971,0.718,0.326,0.449,0.042,0.014,0.019,0.66
"PB1","nuc_4mer",0.966,0.467,0.961,0.971,0.958,0.002,0,0.956,0.374,0.992,0.68,0.973,0.68,0.374,0.483,0.042,0.016,0.023,0.683
"PB1","nuc_5mer",0.967,0.485,0.961,0.972,0.958,0.002,0,0.952,0.401,0.991,0.67,0.974,0.67,0.401,0.502,0.042,0.017,0.025,0.696
"PB1","nuc_6mer",0.964,0.453,0.959,0.97,0.958,0.015,0,0.95,0.374,0.99,0.631,0.973,0.631,0.374,0.47,0.042,0.016,0.025,0.682
"PB1","prot_2mer",0.974,0.585,0.969,0.978,0.958,0,0,0.952,0.465,0.996,0.837,0.977,0.837,0.465,0.598,0.042,0.02,0.023,0.731
"PB1","prot_ctdc",0.971,0.531,0.966,0.976,0.958,0,0,0.921,0.412,0.996,0.802,0.975,0.802,0.412,0.544,0.042,0.017,0.022,0.704
"PB1","prot_ctdd",0.973,0.581,0.968,0.978,0.958,0,0,0.933,0.465,0.996,0.821,0.977,0.821,0.465,0.594,0.042,0.02,0.024,0.73
"PB1","prot_ctdt",0.974,0.583,0.969,0.978,0.958,0,0,0.942,0.46,0.996,0.843,0.977,0.843,0.46,0.595,0.042,0.019,0.023,0.728
"PB1","prot_ctriad",0.973,0.572,0.967,0.977,0.958,0,0,0.944,0.46,0.995,0.804,0.977,0.804,0.46,0.585,0.042,0.019,0.024,0.727
"PB1","prot_pseaac",0.973,0.57,0.968,0.978,0.958,0,0,0.927,0.444,0.996,0.847,0.976,0.847,0.444,0.582,0.042,0.019,0.022,0.72
"PB2","cds_compbias",0.975,0.585,0.97,0.979,0.958,0,0,0.961,0.439,0.999,0.932,0.976,0.932,0.439,0.596,0.042,0.018,0.02,0.719
"PB2","nuc_2mer",0.969,0.452,0.963,0.974,0.958,0,0,0.929,0.321,0.997,0.845,0.971,0.845,0.321,0.465,0.042,0.013,0.016,0.659
"PB2","nuc_3mer",0.973,0.548,0.968,0.977,0.958,0,0,0.955,0.412,0.997,0.875,0.975,0.875,0.412,0.56,0.042,0.017,0.02,0.705
"PB2","nuc_4mer",0.975,0.604,0.971,0.98,0.958,0,0,0.962,0.465,0.998,0.906,0.977,0.906,0.465,0.615,0.042,0.02,0.022,0.732
"PB2","nuc_5mer",0.975,0.599,0.97,0.98,0.958,0,0,0.963,0.46,0.998,0.905,0.977,0.905,0.46,0.61,0.042,0.019,0.021,0.729
"PB2","nuc_6mer",0.975,0.604,0.97,0.98,0.958,0,0,0.964,0.471,0.997,0.889,0.977,0.889,0.471,0.615,0.042,0.02,0.022,0.734
"PB2","prot_2mer",0.975,0.621,0.971,0.98,0.958,0,0,0.955,0.503,0.996,0.855,0.979,0.855,0.503,0.633,0.042,0.021,0.025,0.749
"PB2","prot_ctdc",0.974,0.598,0.969,0.978,0.958,0,0,0.939,0.487,0.995,0.82,0.978,0.82,0.487,0.611,0.042,0.02,0.025,0.741
"PB2","prot_ctdd",0.976,0.626,0.971,0.98,0.958,0,0,0.958,0.503,0.997,0.87,0.979,0.87,0.503,0.637,0.042,0.021,0.024,0.75
"PB2","prot_ctdt",0.977,0.637,0.972,0.981,0.958,0,0,0.939,0.513,0.997,0.881,0.979,0.881,0.513,0.649,0.042,0.022,0.025,0.755
"PB2","prot_ctriad",0.977,0.647,0.972,0.981,0.958,0,0,0.951,0.519,0.997,0.898,0.979,0.898,0.519,0.658,0.042,0.022,0.024,0.758
"PB2","prot_pseaac",0.975,0.614,0.97,0.98,0.958,0,0,0.945,0.492,0.996,0.86,0.978,0.86,0.492,0.626,0.042,0.021,0.024,0.744
