"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_pseaac","PA","H16N3",0.001,0.166666666666667,0.912054311794181,0.45472793959372,0.00739528052553384,0.0455252015396053
"70_7","prot_pseaac","PA","H16N3",0.001,0.333333333333333,0.912054311794181,0.45472793959372,0.00739528052553384,0.0455252015396053
"70_7","prot_pseaac","PA","H16N3",0.1,0.111111111111111,0.895969650827233,0.485491423264779,0.0160594005944485,0.0240711665335074
"70_7","prot_pseaac","PA","H16N3",0.1,0.166666666666667,0.917717981679808,0.539452804159609,0.0174257993604993,0.050766663094424
"70_7","prot_pseaac","PA","H16N3",0.1,0.333333333333333,0.950831783255951,0.589079126794616,0.00478748038404246,0.0618065863357409
"70_7","prot_pseaac","PA","H16N3",1,0.111111111111111,0.899283809285836,0.495335127317883,0.0171645234853104,0.0424327038200884
"70_7","prot_pseaac","PA","H16N3",1,0.166666666666667,0.916300657089059,0.529566017059249,0.0168631239463352,0.0512091764915744
"70_7","prot_pseaac","PA","H16N3",1,0.333333333333333,0.948948346749721,0.594890582455852,0.0094555224318806,0.0651034268157595
"70_7","prot_pseaac","PA","H16N3",10,0.111111111111111,0.900229441048332,0.500473286144549,0.0177075323397548,0.0513376898793174
"70_7","prot_pseaac","PA","H16N3",10,0.166666666666667,0.917721332341453,0.537244851045922,0.0175597754275765,0.0576557212449105
"70_7","prot_pseaac","PA","H16N3",10,0.333333333333333,0.94847553351095,0.589848125002279,0.00942668640788436,0.0632990013030627
"70_7","prot_pseaac","PA","H3N8",0.001,0.111111111111111,0.914266086558278,0.479534642662512,0.0113173178319425,0.0808107716295109
"70_7","prot_pseaac","PA","H3N8",0.001,0.166666666666667,0.914266086558278,0.479534642662512,0.0113173178319425,0.0808107716295109
"70_7","prot_pseaac","PA","H3N8",0.001,0.333333333333333,0.914266086558278,0.479534642662512,0.0113173178319425,0.0808107716295109
"70_7","prot_pseaac","PA","H3N8",0.1,0.111111111111111,0.892083301529145,0.493430679470041,0.0152600420658828,0.0609232886842002
"70_7","prot_pseaac","PA","H3N8",0.1,0.166666666666667,0.91577996590591,0.547497421500775,0.0200637725490332,0.08860781078623
"70_7","prot_pseaac","PA","H3N8",0.1,0.333333333333333,0.950067424878508,0.619819834178321,0.010197436459831,0.0961796451236588
"70_7","prot_pseaac","PA","H3N8",1,0.111111111111111,0.893590820039183,0.492793692257063,0.0180613171572739,0.0654960919596353
"70_7","prot_pseaac","PA","H3N8",1,0.166666666666667,0.911743378368064,0.530855399953372,0.0194714132534012,0.0786654234096535
"70_7","prot_pseaac","PA","H3N8",1,0.333333333333333,0.950063608375951,0.617074738783659,0.0136793591811948,0.110333865205993
"70_7","prot_pseaac","PA","H3N8",10,0.111111111111111,0.895104699386815,0.494733906916338,0.0167019180039996,0.060185802257616
"70_7","prot_pseaac","PA","H3N8",10,0.166666666666667,0.912245884538076,0.532645475560224,0.0197588692789575,0.0802006084976554
"70_7","prot_pseaac","PA","H3N8",10,0.333333333333333,0.95006488054347,0.616580708499326,0.0124565872742782,0.103834396526946
"70_7","prot_pseaac","PA","H4N6",0.001,0.111111111111111,0.917417060111641,0.499564580401557,0.0128041743795467,0.0759111737211179
"70_7","prot_pseaac","PA","H4N6",0.001,0.166666666666667,0.917417060111641,0.499564580401557,0.0128041743795467,0.0759111737211179
"70_7","prot_pseaac","PA","H4N6",0.001,0.333333333333333,0.917417060111641,0.499564580401557,0.0128041743795467,0.0759111737211179
"70_7","prot_pseaac","PA","H4N6",0.1,0.111111111111111,0.884198068427781,0.467282769726476,0.0182576154337186,0.0613538020778357
"70_7","prot_pseaac","PA","H4N6",0.1,0.166666666666667,0.909864182372821,0.50641986693862,0.0136472000487105,0.0703616726413928
"70_7","prot_pseaac","PA","H4N6",0.1,0.333333333333333,0.949646215966482,0.629753321159934,0.0128498847166088,0.0986780307172398
"70_7","prot_pseaac","PA","H4N6",1,0.111111111111111,0.882677872992165,0.455162150576487,0.011635356197856,0.0473566807997562
"70_7","prot_pseaac","PA","H4N6",1,0.166666666666667,0.909862916598104,0.527150054924031,0.0163995418102201,0.0667363594770375
"70_7","prot_pseaac","PA","H4N6",1,0.333333333333333,0.951156285204359,0.635706233719317,0.0129256375023423,0.0976530007580913
"70_7","prot_pseaac","PA","H4N6",10,0.111111111111111,0.882676607217447,0.455089568862194,0.011374967090385,0.0462179773034112
"70_7","prot_pseaac","PA","H4N6",10,0.166666666666667,0.911372985835981,0.534536333744754,0.0180583834053699,0.0778729446107419
"70_7","prot_pseaac","PA","H4N6",10,0.333333333333333,0.949141171854233,0.623147854019032,0.0117473714031599,0.0883741691241379
"70_7","prot_pseaac","PA","H4N8",0.001,0.111111111111111,0.909604158963844,0.44489092947851,0.00519282838401747,0.0120554960200119
"70_7","prot_pseaac","PA","H4N8",0.001,0.166666666666667,0.909604158963844,0.44489092947851,0.00519282838401747,0.0120554960200119
"70_7","prot_pseaac","PA","H4N8",0.001,0.333333333333333,0.909604158963844,0.44489092947851,0.00519282838401747,0.0120554960200119
"70_7","prot_pseaac","PA","H4N8",0.1,0.111111111111111,0.900135569672728,0.505509429103828,0.0189478448502725,0.0539201395937914
"70_7","prot_pseaac","PA","H4N8",0.1,0.166666666666667,0.916700839187478,0.534600462779805,0.0190774237158172,0.0764767584360621
"70_7","prot_pseaac","PA","H4N8",0.1,0.333333333333333,0.953621727000773,0.620352901689339,0.00615274917926357,0.0531350140391152
"70_7","prot_pseaac","PA","H4N8",1,0.111111111111111,0.90250747874021,0.500660121124502,0.0154848708865236,0.0602017137693048
"70_7","prot_pseaac","PA","H4N8",1,0.166666666666667,0.913866200575891,0.519287536246097,0.0172016229533771,0.0818877594720836
"70_7","prot_pseaac","PA","H4N8",1,0.333333333333333,0.952674980112713,0.620051568515102,0.00818351976683936,0.0687815249873602
"70_7","prot_pseaac","PA","H4N8",10,0.111111111111111,0.901564093083706,0.499791923686435,0.0140519120559029,0.0541775342375318
"70_7","prot_pseaac","PA","H4N8",10,0.166666666666667,0.913392266926602,0.521238169355124,0.0192100632289228,0.0833890656206182
"70_7","prot_pseaac","PA","H4N8",10,0.333333333333333,0.951729353635172,0.611350658080122,0.00658738930413419,0.0643699711029042
"70_7","prot_pseaac","PA","H5N1",0.001,0.111111111111111,0.922305764411028,0.487219960435464,0.0131429680221824,0.060710670820106
"70_7","prot_pseaac","PA","H5N1",0.001,0.166666666666667,0.922305764411028,0.487219960435464,0.0131429680221824,0.060710670820106
"70_7","prot_pseaac","PA","H5N1",0.001,0.333333333333333,0.922305764411028,0.487219960435464,0.0131429680221824,0.060710670820106
"70_7","prot_pseaac","PA","H5N1",0.1,0.111111111111111,0.915288220551378,0.53732590628686,0.0206215563215281,0.0577324072457317
"70_7","prot_pseaac","PA","H5N1",0.1,0.166666666666667,0.939348370927318,0.614417283668743,0.0151830889532441,0.0683995723277974
"70_7","prot_pseaac","PA","H5N1",0.1,0.333333333333333,0.967418546365915,0.703658021067671,0.00468879371776182,0.0461838895471281
"70_7","prot_pseaac","PA","H5N1",1,0.111111111111111,0.924812030075188,0.566090043925579,0.0157516354510984,0.0584737612097106
"70_7","prot_pseaac","PA","H5N1",1,0.166666666666667,0.937844611528822,0.609491649446323,0.013190674052071,0.0642271473548046
"70_7","prot_pseaac","PA","H5N1",1,0.333333333333333,0.959899749373434,0.663824491399059,0.0104844614853894,0.0733355759420522
"70_7","prot_pseaac","PA","H5N1",10,0.111111111111111,0.924310776942356,0.565252196765319,0.0180207298368396,0.0647218610456967
"70_7","prot_pseaac","PA","H5N1",10,0.166666666666667,0.935338345864662,0.598707860191167,0.016281084480112,0.0688747017318943
"70_7","prot_pseaac","PA","H5N1",10,0.333333333333333,0.960401002506266,0.666515204543337,0.0100875247105253,0.0719751383602688
"70_7","prot_pseaac","PA","H5N6",0.001,0.111111111111111,0.913459327724093,0.473900066309862,0.019488382562815,0.0911713930437965
"70_7","prot_pseaac","PA","H5N6",0.001,0.166666666666667,0.913459327724093,0.473900066309862,0.019488382562815,0.0911713930437965
"70_7","prot_pseaac","PA","H5N6",0.001,0.333333333333333,0.913459327724093,0.473900066309862,0.019488382562815,0.0911713930437965
"70_7","prot_pseaac","PA","H5N6",0.1,0.111111111111111,0.850581789016552,0.387409250374212,0.0246961918834731,0.0318699090014278
"70_7","prot_pseaac","PA","H5N6",0.1,0.166666666666667,0.908738995930373,0.497478823033951,0.0112609961087829,0.0626541997345934
"70_7","prot_pseaac","PA","H5N6",0.1,0.333333333333333,0.948455408401261,0.597421647699711,0.00865725076633722,0.0685164260705589
"70_7","prot_pseaac","PA","H5N6",1,0.111111111111111,0.872797309915485,0.432310649311871,0.0189231369629356,0.0412259830349244
"70_7","prot_pseaac","PA","H5N6",1,0.166666666666667,0.905428188133415,0.509334424881627,0.0106832767658488,0.0451344048995539
"70_7","prot_pseaac","PA","H5N6",1,0.333333333333333,0.950346666641299,0.611038559513132,0.00842492848882589,0.0736673940444898
"70_7","prot_pseaac","PA","H5N6",10,0.111111111111111,0.875162501804812,0.439690061826908,0.0169618661348804,0.0338421092432958
"70_7","prot_pseaac","PA","H5N6",10,0.166666666666667,0.904488153138555,0.50243962455888,0.00929416326887944,0.0357403854197405
"70_7","prot_pseaac","PA","H5N6",10,0.333333333333333,0.947984825413617,0.598943040036902,0.00807308416804623,0.0687871734005082
"70_7","prot_pseaac","PA","H7N3",0.001,0.111111111111111,0.925148174340269,0.514626177564018,0.00934545098818228,0.0663543772670231
"70_7","prot_pseaac","PA","H7N3",0.001,0.166666666666667,0.925148174340269,0.514626177564018,0.00934545098818228,0.0663543772670231
"70_7","prot_pseaac","PA","H7N3",0.001,0.333333333333333,0.925148174340269,0.514626177564018,0.00934545098818228,0.0663543772670231
"70_7","prot_pseaac","PA","H7N3",0.1,0.111111111111111,0.895190562151834,0.462865930856846,0.0154370715827803,0.045717531212604
"70_7","prot_pseaac","PA","H7N3",0.1,0.166666666666667,0.927149421223062,0.535277582162704,0.014465144119711,0.0975561930300244
"70_7","prot_pseaac","PA","H7N3",0.1,0.333333333333333,0.949107070631878,0.617755933795557,0.0107767831491416,0.0826602823745011
"70_7","prot_pseaac","PA","H7N3",1,0.111111111111111,0.896196784159005,0.481540249117673,0.0123983682368894,0.0387584777415423
"70_7","prot_pseaac","PA","H7N3",1,0.166666666666667,0.933614601555812,0.570871966662144,0.0205224559721882,0.103993275623286
"70_7","prot_pseaac","PA","H7N3",1,0.333333333333333,0.954085923251573,0.643113172049796,0.00948579273766983,0.0793391542555293
"70_7","prot_pseaac","PA","H7N3",10,0.111111111111111,0.895198031041799,0.481027108267003,0.0131885887255274,0.038215557817513
"70_7","prot_pseaac","PA","H7N3",10,0.166666666666667,0.935109620228037,0.581476633538525,0.0193899966365511,0.100052604199694
"70_7","prot_pseaac","PA","H7N3",10,0.333333333333333,0.951094632820933,0.61672064636501,0.00763889549416912,0.0713792844641223
"70_7","prot_pseaac","PA","H7N4",0.001,0.111111111111111,0.918746936880843,0.493305264934565,0.016447113862656,0.0498814091136679
"70_7","prot_pseaac","PA","H7N4",0.001,0.166666666666667,0.918746936880843,0.493305264934565,0.016447113862656,0.0498814091136679
"70_7","prot_pseaac","PA","H7N4",0.001,0.333333333333333,0.918746936880843,0.493305264934565,0.016447113862656,0.0498814091136679
"70_7","prot_pseaac","PA","H7N4",0.1,0.111111111111111,0.897242062466778,0.501955089272334,0.0210405355478278,0.0458643920036909
"70_7","prot_pseaac","PA","H7N4",0.1,0.166666666666667,0.915874965122511,0.53483237539732,0.0178197955771272,0.0479271992224621
"70_7","prot_pseaac","PA","H7N4",0.1,0.333333333333333,0.952200978023807,0.63121685846863,0.00715753785258935,0.0243503102682318
"70_7","prot_pseaac","PA","H7N4",1,0.111111111111111,0.899152517750105,0.505727552065478,0.0253205902941425,0.0540501191494595
"70_7","prot_pseaac","PA","H7N4",1,0.166666666666667,0.916831897444669,0.544435641449176,0.0186562711091434,0.047666360614682
"70_7","prot_pseaac","PA","H7N4",1,0.333333333333333,0.95220212543124,0.634175063644846,0.00860429974482283,0.0412924108825625
"70_7","prot_pseaac","PA","H7N4",10,0.111111111111111,0.899632139533945,0.500938321156582,0.0282346758004577,0.0686458007359999
"70_7","prot_pseaac","PA","H7N4",10,0.166666666666667,0.912525677348975,0.52766568498343,0.0227141901611944,0.0639117201995913
"70_7","prot_pseaac","PA","H7N4",10,0.333333333333333,0.949814348655823,0.61322377388461,0.0107967546401075,0.0532767919653592
"70_7","prot_pseaac","PA","H7N7",0.001,0.111111111111111,0.921367157382522,0.508399237442247,0.0097925125642315,0.0594550451702279
"70_7","prot_pseaac","PA","H7N7",0.001,0.166666666666667,0.921367157382522,0.508399237442247,0.0097925125642315,0.0594550451702279
"70_7","prot_pseaac","PA","H7N7",0.001,0.333333333333333,0.921367157382522,0.508399237442247,0.0097925125642315,0.0594550451702279
"70_7","prot_pseaac","PA","H7N7",0.1,0.111111111111111,0.890561400984732,0.488370662184097,0.0150076816313397,0.0405024762026819
"70_7","prot_pseaac","PA","H7N7",0.1,0.166666666666667,0.919943120936233,0.550442652981309,0.0128846996253676,0.0409317951838853
"70_7","prot_pseaac","PA","H7N7",0.1,0.333333333333333,0.951682179295862,0.635482393137607,0.00722152544508278,0.0695046463012688
"70_7","prot_pseaac","PA","H7N7",1,0.111111111111111,0.897674913979218,0.506130778901862,0.0152980226194802,0.0496897130862157
"70_7","prot_pseaac","PA","H7N7",1,0.166666666666667,0.919469192609559,0.558107606650283,0.0121730018329169,0.040173181491554
"70_7","prot_pseaac","PA","H7N7",1,0.333333333333333,0.951208245646573,0.636495154336975,0.00661276481504603,0.0564785204177156
"70_7","prot_pseaac","PA","H7N7",10,0.111111111111111,0.900043477782991,0.517001308871621,0.0155759332921962,0.0448023806042096
